epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.001,0.7781450555331981,70.95015576323988,0.6637043971471835,77.720207253886,0.392041872181245,0.392041872181245,0.3799890122847321,0.3889470396933083,0.9383165919187814,0.9383165919187814,0.5620348566326634,0.392041872181245,0.943763993020365,0.6806573194632896,0.9559888689762824,0.8552048726467332,0.9374618669920683,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_005_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_05.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_005_detailed_metrics.json
10,0.001,0.6825899002708007,74.45482866043614,0.6620876764386429,74.61139896373057,0.3957505618655444,0.3957505618655444,0.4326345866718536,0.5203877005347594,0.9300725358429168,0.9300725358429168,0.528260173350113,0.3957505618655444,0.9352442155642016,0.6071189839572192,0.9486718319033242,0.8767995570321152,0.9313605857230018,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_010_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_10.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_010_detailed_metrics.json
15,0.001,0.6231259924600429,76.45054517133957,0.6241303345700002,76.16580310880829,0.4221092206283844,0.4221092206283844,0.4423405304150645,0.4754825185888309,0.941125890629724,0.941125890629724,0.5470469931728523,0.4221092206283844,0.9452625040662944,0.5547296050203027,0.9514324241584052,0.8449612403100775,0.9315131177547284,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_015_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_15.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_015_detailed_metrics.json
20,0.001,0.5852368554779303,77.89135257328782,0.6195331737785141,77.720207253886,0.423249543719927,0.423249543719927,0.41748010518035,0.4264690724774759,0.9432483278357684,0.9432483278357684,0.5584876530871498,0.423249543719927,0.948824697818786,0.4975472512237218,0.9520257112243432,0.8823366555924694,0.9356314826113484,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_020_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_20.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_020_detailed_metrics.json
25,0.001,0.5151725391918254,80.99688250104958,0.5917807798929166,78.75647668393782,0.456561382868003,0.456561382868003,0.4768094835611497,0.5365774691839601,0.9422190362005204,0.9422190362005204,0.5684032056642038,0.456561382868003,0.9444040868850936,0.6260070473812868,0.959045945894378,0.8394241417497232,0.9301403294691886,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_025_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_025_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_25.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_025_detailed_metrics.json
30,0.0001,0.431539766560091,84.15108775201244,0.652799473525329,76.68393782383419,0.4623323830640903,0.4623323830640903,0.4668883640638403,0.4787730852190782,0.9200302707544784,0.9200302707544784,0.5198471456417132,0.4623323830640903,0.9497688775791924,0.5585685994222579,0.9499708518609474,0.8460686600221483,0.9310555216595484,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_030_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_030_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_30.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_030_detailed_metrics.json
35,0.0001,0.2541967875489564,92.10474830698745,0.5989080485284637,79.79274611398964,0.4877090969425464,0.4877090969425464,0.5007868032868033,0.5289386620790049,0.9466036762411292,0.9466036762411292,0.59166273040626,0.4877090969425464,0.9534435690750832,0.617095105758839,0.957679069701266,0.7754706533776301,0.9338010982306284,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_035_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_035_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_35.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_035_detailed_metrics.json
40,0.0001,0.2160697621859122,93.60396975223148,0.629172759043738,80.31088082901555,0.4998438843386578,0.4998438843386578,0.507418615219367,0.5261387709205546,0.946603153052436,0.946603153052436,0.5786307696868295,0.4998438843386578,0.9567530009559436,0.6138285660739804,0.9579217878984404,0.8264119601328903,0.9325808419768152,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_040_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_040_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_40.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_040_detailed_metrics.json
45,0.0001,0.1896659871824433,94.46066726256754,0.6295234384932049,78.75647668393782,0.5071568095087259,0.5071568095087259,0.5155073816126947,0.5503434343434345,0.945715721454548,0.945715721454548,0.5713400145005734,0.5071568095087259,0.9531230009143112,0.5503434343434345,0.9552773553959708,0.8446843853820598,0.9371568029286148,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_045_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_045_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_45.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_045_detailed_metrics.json
50,0.0001,0.170905757590989,94.98636826844972,0.6412522805169456,80.31088082901555,0.5389576451423141,0.5389576451423141,0.5416044028260408,0.5526946550978115,0.94778294541328,0.94778294541328,0.5900163373518291,0.5389576451423141,0.95684923232895,0.5526946550978115,0.9568629853659282,0.7995570321151717,0.9316656497864552,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\roc_curves\epoch_050_roc.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\confusion_matrices\epoch_050_confusion_matrix.png,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\predictions\val_predictions_epoch_50.csv,experiments\20260412_200106_resnet50_scratch_lr0.001_bs32_seed42\metrics\epoch_050_detailed_metrics.json
