source_image,label,label_idx,seed_strategy,strength,guidance_scale,num_inference_steps,aug_idx,generator_seed,output_path,source_confidence
ISIC_0024640,MEL,0,hard,0.45,5.0,250,0,194,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,1,1194,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,2,2194,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,3,3194,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,4,4194,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8351307511329651
ISIC_0034218,MEL,0,hard,0.45,5.0,250,0,678,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,1,1678,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,2,2678,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,3,3678,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,4,4678,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8092272281646729
ISIC_0028696,MEL,0,hard,0.45,5.0,250,0,840,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,1,1840,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,2,2840,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,3,3840,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,4,4840,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8383530378341675
