source_image,label,label_idx,seed_strategy,strength,guidance_scale,num_inference_steps,aug_idx,generator_seed,output_path,source_confidence
ISIC_0031170,MEL,0,random,0.45,5.0,250,0,936,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0031170_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-000.png,
ISIC_0031170,MEL,0,random,0.45,5.0,250,1,1936,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0031170_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-001.png,
ISIC_0031170,MEL,0,random,0.45,5.0,250,2,2936,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0031170_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-002.png,
ISIC_0031170,MEL,0,random,0.45,5.0,250,3,3936,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0031170_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-003.png,
ISIC_0031170,MEL,0,random,0.45,5.0,250,4,4936,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0031170_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-004.png,
ISIC_0026647,MEL,0,random,0.45,5.0,250,0,1002,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0026647_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-000.png,
ISIC_0026647,MEL,0,random,0.45,5.0,250,1,2002,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0026647_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-001.png,
ISIC_0026647,MEL,0,random,0.45,5.0,250,2,3002,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0026647_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-002.png,
ISIC_0026647,MEL,0,random,0.45,5.0,250,3,4002,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0026647_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-003.png,
ISIC_0026647,MEL,0,random,0.45,5.0,250,4,5002,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0026647_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-004.png,
ISIC_0024482,MEL,0,random,0.45,5.0,250,0,613,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024482_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-000.png,
ISIC_0024482,MEL,0,random,0.45,5.0,250,1,1613,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024482_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-001.png,
ISIC_0024482,MEL,0,random,0.45,5.0,250,2,2613,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024482_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-002.png,
ISIC_0024482,MEL,0,random,0.45,5.0,250,3,3613,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024482_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-003.png,
ISIC_0024482,MEL,0,random,0.45,5.0,250,4,4613,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024482_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-004.png,
ISIC_0024733,MEL,0,random,0.45,5.0,250,0,402,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024733_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-000.png,
ISIC_0024733,MEL,0,random,0.45,5.0,250,1,1402,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024733_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-001.png,
ISIC_0024733,MEL,0,random,0.45,5.0,250,2,2402,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024733_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-002.png,
ISIC_0024733,MEL,0,random,0.45,5.0,250,3,3402,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024733_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-003.png,
ISIC_0024733,MEL,0,random,0.45,5.0,250,4,4402,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0024733_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-004.png,
ISIC_0028465,MEL,0,random,0.45,5.0,250,0,416,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0028465_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-000.png,
ISIC_0028465,MEL,0,random,0.45,5.0,250,1,1416,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0028465_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-001.png,
ISIC_0028465,MEL,0,random,0.45,5.0,250,2,2416,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0028465_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-002.png,
ISIC_0028465,MEL,0,random,0.45,5.0,250,3,3416,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_random\random\MEL\ISIC_0028465_label-MEL_strategy-random_strength-0.45_gs-5.0_aug-003.png,
