source_image,label,label_idx,seed_strategy,strength,guidance_scale,num_inference_steps,aug_idx,generator_seed,output_path,source_confidence,pred,pred_confidence,correct
ISIC_0025248,MEL,0,hard,0.45,5.0,100,0,858,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025248_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.6327658295631409,MEL,0.6327658295631409,1
ISIC_0025248,MEL,0,hard,0.45,5.0,100,1,1858,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025248_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.6327658295631409,MEL,0.6327658295631409,1
ISIC_0025248,MEL,0,hard,0.45,5.0,100,2,2858,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025248_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.6327658295631409,MEL,0.6327658295631409,1
ISIC_0025248,MEL,0,hard,0.45,5.0,100,3,3858,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025248_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.6327658295631409,MEL,0.6327658295631409,1
ISIC_0025248,MEL,0,hard,0.45,5.0,100,4,4858,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025248_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.6327658295631409,MEL,0.6327658295631409,1
ISIC_0032870,MEL,0,hard,0.45,5.0,100,0,919,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032870_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.2557332217693329,BKL,0.7030090093612671,0
ISIC_0032870,MEL,0,hard,0.45,5.0,100,1,1919,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032870_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.2557332217693329,BKL,0.7030090093612671,0
ISIC_0032870,MEL,0,hard,0.45,5.0,100,2,2919,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032870_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.2557332217693329,BKL,0.7030090093612671,0
ISIC_0032870,MEL,0,hard,0.45,5.0,100,3,3919,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032870_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.2557332217693329,BKL,0.7030090093612671,0
ISIC_0032870,MEL,0,hard,0.45,5.0,100,4,4919,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032870_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.2557332217693329,BKL,0.7030090093612671,0
ISIC_0032869,MEL,0,hard,0.45,5.0,100,0,134,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032869_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.6700913906097412,MEL,0.6700913906097412,1
ISIC_0032869,MEL,0,hard,0.45,5.0,100,1,1134,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032869_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.6700913906097412,MEL,0.6700913906097412,1
ISIC_0032869,MEL,0,hard,0.45,5.0,100,2,2134,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032869_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.6700913906097412,MEL,0.6700913906097412,1
ISIC_0032869,MEL,0,hard,0.45,5.0,100,3,3134,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032869_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.6700913906097412,MEL,0.6700913906097412,1
ISIC_0032869,MEL,0,hard,0.45,5.0,100,4,4134,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032869_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.6700913906097412,MEL,0.6700913906097412,1
ISIC_0032603,MEL,0,hard,0.45,5.0,100,0,1021,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032603_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.036373965442180634,NV,0.917326033115387,0
ISIC_0032603,MEL,0,hard,0.45,5.0,100,1,2021,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032603_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.036373965442180634,NV,0.917326033115387,0
ISIC_0032603,MEL,0,hard,0.45,5.0,100,2,3021,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032603_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.036373965442180634,NV,0.917326033115387,0
ISIC_0032603,MEL,0,hard,0.45,5.0,100,3,4021,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032603_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.036373965442180634,NV,0.917326033115387,0
ISIC_0032603,MEL,0,hard,0.45,5.0,100,4,5021,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0032603_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.036373965442180634,NV,0.917326033115387,0
ISIC_0027480,MEL,0,hard,0.45,5.0,100,0,924,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0027480_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.2851162552833557,NV,0.6559607982635498,0
ISIC_0027480,MEL,0,hard,0.45,5.0,100,1,1924,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0027480_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.2851162552833557,NV,0.6559607982635498,0
ISIC_0027480,MEL,0,hard,0.45,5.0,100,2,2924,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0027480_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.2851162552833557,NV,0.6559607982635498,0
ISIC_0027480,MEL,0,hard,0.45,5.0,100,3,3924,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0027480_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.2851162552833557,NV,0.6559607982635498,0
ISIC_0027480,MEL,0,hard,0.45,5.0,100,4,4924,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0027480_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.2851162552833557,NV,0.6559607982635498,0
ISIC_0026604,MEL,0,hard,0.45,5.0,100,0,675,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0026604_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.5338321328163147,MEL,0.5338321328163147,1
ISIC_0026604,MEL,0,hard,0.45,5.0,100,1,1675,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0026604_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.5338321328163147,MEL,0.5338321328163147,1
ISIC_0026604,MEL,0,hard,0.45,5.0,100,2,2675,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0026604_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.5338321328163147,MEL,0.5338321328163147,1
ISIC_0026604,MEL,0,hard,0.45,5.0,100,3,3675,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0026604_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.5338321328163147,MEL,0.5338321328163147,1
ISIC_0026604,MEL,0,hard,0.45,5.0,100,4,4675,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0026604_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.5338321328163147,MEL,0.5338321328163147,1
ISIC_0024864,MEL,0,hard,0.45,5.0,100,0,787,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0024864_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.6433205008506775,MEL,0.6433205008506775,1
ISIC_0024864,MEL,0,hard,0.45,5.0,100,1,1787,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0024864_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.6433205008506775,MEL,0.6433205008506775,1
ISIC_0024864,MEL,0,hard,0.45,5.0,100,2,2787,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0024864_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.6433205008506775,MEL,0.6433205008506775,1
ISIC_0024864,MEL,0,hard,0.45,5.0,100,3,3787,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0024864_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.6433205008506775,MEL,0.6433205008506775,1
ISIC_0024864,MEL,0,hard,0.45,5.0,100,4,4787,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0024864_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.6433205008506775,MEL,0.6433205008506775,1
ISIC_0031550,MEL,0,hard,0.45,5.0,100,0,115,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0031550_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.6040334105491638,MEL,0.6040334105491638,1
ISIC_0031550,MEL,0,hard,0.45,5.0,100,1,1115,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0031550_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.6040334105491638,MEL,0.6040334105491638,1
ISIC_0031550,MEL,0,hard,0.45,5.0,100,2,2115,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0031550_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.6040334105491638,MEL,0.6040334105491638,1
ISIC_0031550,MEL,0,hard,0.45,5.0,100,3,3115,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0031550_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.6040334105491638,MEL,0.6040334105491638,1
ISIC_0031550,MEL,0,hard,0.45,5.0,100,4,4115,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0031550_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.6040334105491638,MEL,0.6040334105491638,1
ISIC_0025800,MEL,0,hard,0.45,5.0,100,0,57,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.30607113242149353,AKIEC,0.5255707502365112,0
ISIC_0025800,MEL,0,hard,0.45,5.0,100,1,1057,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.30607113242149353,AKIEC,0.5255707502365112,0
ISIC_0025800,MEL,0,hard,0.45,5.0,100,2,2057,experiments\260526-0101_res256_sd_lora_uncond_all_seed42\sampling_img2img\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.30607113242149353,AKIEC,0.5255707502365112,0
