image,label_idx,label,confidence,pred,pred_idx,pred_confidence,correct
ISIC_0025248,0,MEL,0.6327658295631409,MEL,0,0.6327658295631409,1
ISIC_0032870,0,MEL,0.2557332217693329,BKL,4,0.7030090093612671,0
ISIC_0032869,0,MEL,0.6700913906097412,MEL,0,0.6700913906097412,1
ISIC_0032603,0,MEL,0.036373965442180634,NV,1,0.917326033115387,0
ISIC_0027480,0,MEL,0.2851162552833557,NV,1,0.6559607982635498,0
ISIC_0026604,0,MEL,0.5338321328163147,MEL,0,0.5338321328163147,1
ISIC_0024864,0,MEL,0.6433205008506775,MEL,0,0.6433205008506775,1
ISIC_0031550,0,MEL,0.6040334105491638,MEL,0,0.6040334105491638,1
ISIC_0025800,0,MEL,0.30607113242149353,AKIEC,3,0.5255707502365112,0
ISIC_0027030,0,MEL,0.7198391556739807,MEL,0,0.7198391556739807,1
ISIC_0025500,0,MEL,0.6639083027839661,MEL,0,0.6639083027839661,1
ISIC_0028764,0,MEL,0.6173131465911865,MEL,0,0.6173131465911865,1
ISIC_0027402,0,MEL,0.5431325435638428,MEL,0,0.5431325435638428,1
ISIC_0032597,0,MEL,0.5617138147354126,MEL,0,0.5617138147354126,1
ISIC_0033387,0,MEL,0.5772899389266968,MEL,0,0.5772899389266968,1
ISIC_0025105,0,MEL,0.5072187781333923,MEL,0,0.5072187781333923,1
ISIC_0031779,0,MEL,0.6751670837402344,MEL,0,0.6751670837402344,1
ISIC_0030192,0,MEL,0.3518420159816742,NV,1,0.36310452222824097,0
ISIC_0025451,0,MEL,0.11130113154649734,NV,1,0.7951715588569641,0
ISIC_0030034,0,MEL,0.28348883986473083,MEL,0,0.28348883986473083,1
ISIC_0026781,1,NV,0.8981689810752869,NV,1,0.8981689810752869,1
ISIC_0029117,1,NV,0.9355425834655762,NV,1,0.9355425834655762,1
ISIC_0030455,1,NV,0.9331805109977722,NV,1,0.9331805109977722,1
ISIC_0029611,1,NV,0.9402081966400146,NV,1,0.9402081966400146,1
ISIC_0032096,1,NV,0.7279701232910156,NV,1,0.7279701232910156,1
ISIC_0029954,1,NV,0.9405345320701599,NV,1,0.9405345320701599,1
ISIC_0032518,1,NV,0.9279826879501343,NV,1,0.9279826879501343,1
ISIC_0032608,1,NV,0.7826942801475525,NV,1,0.7826942801475525,1
ISIC_0030763,1,NV,0.9289868474006653,NV,1,0.9289868474006653,1
ISIC_0032027,1,NV,0.9154978394508362,NV,1,0.9154978394508362,1
ISIC_0033225,1,NV,0.7920334339141846,NV,1,0.7920334339141846,1
ISIC_0032186,1,NV,0.6869171261787415,NV,1,0.6869171261787415,1
ISIC_0029365,1,NV,0.9224374890327454,NV,1,0.9224374890327454,1
ISIC_0030912,1,NV,0.9402630925178528,NV,1,0.9402630925178528,1
ISIC_0030777,1,NV,0.933493435382843,NV,1,0.933493435382843,1
ISIC_0032786,1,NV,0.936489999294281,NV,1,0.936489999294281,1
ISIC_0025116,1,NV,0.9343432188034058,NV,1,0.9343432188034058,1
ISIC_0027195,1,NV,0.9165624976158142,NV,1,0.9165624976158142,1
ISIC_0033144,1,NV,0.920997679233551,NV,1,0.920997679233551,1
ISIC_0030857,1,NV,0.9320010542869568,NV,1,0.9320010542869568,1
ISIC_0027851,2,BCC,0.8020759224891663,BCC,2,0.8020759224891663,1
ISIC_0027189,2,BCC,0.8131575584411621,BCC,2,0.8131575584411621,1
