epoch,train_loss,train_acc,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.7638758775179706,78.92161757211595,0.0009938503261272,0.7007839963843785,0.8549222797927462,0.5215330256271024,0.5215330256271024,0.5438257099547048,0.6548664463776672,0.7350212585157757,0.7294889122490864,0.4864108326270686,0.9658036291176072,0.9658036291176072,0.7988942213536071,0.5215330256271024,0.9648778069999664,0.6548664463776672,0.9749457263346778,0.8972868217054264,0.9496644295302014,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_005_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_05.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_005_detailed_metrics.json
10,0.6089216178081301,85.68147779322837,0.0009755527298894,0.6116937732449468,0.8549222797927462,0.6291223584777591,0.6291223584777591,0.6395127438338502,0.6579291740802388,0.7337598946685037,0.7309970630693414,0.5930268869212479,0.9747321045328616,0.9747321045328616,0.8035350193917923,0.6291223584777591,0.963904528443489,0.6579291740802388,0.9730662194727732,0.9089147286821706,0.9513422818791946,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_010_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_10.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_010_detailed_metrics.json
15,0.5196894034587081,89.7154268696138,0.000945557758832,0.5368118446725638,0.9067357512953368,0.8487729459854896,0.8487729459854896,0.851174151259041,0.8551789838250203,0.8330411159953526,0.8328682767247186,0.8291885733496878,0.9804674018973056,0.9804674018973056,0.8516011677731424,0.8487729459854896,0.980415627364198,0.8551789838250203,0.9816220678409756,0.9296788482834994,0.9589688834655278,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_015_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_15.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_015_detailed_metrics.json
20,0.4551254765426761,92.1917124267822,0.0009046039886902,0.5474142287061622,0.911917098445596,0.8311458286196963,0.8311458286196963,0.8458053900815505,0.8705095187597839,0.8429675083393455,0.8428865584446679,0.8123968778719478,0.9832891965435782,0.9832891965435782,0.8880091501411135,0.8311458286196963,0.9812510492522516,0.8705095187597839,0.981315259157855,0.931063122923588,0.9650701647345944,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_020_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_20.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_020_detailed_metrics.json
25,0.4130894336828992,94.0389415807624,0.0008536998372026,0.5691332483538691,0.9015544041450776,0.8261829343710877,0.8261829343710877,0.8335651511518006,0.8565061308433525,0.8250742357837667,0.8246796710652132,0.8058847249749375,0.9783998062745444,0.9783998062745444,0.8471956319481768,0.8261829343710877,0.9797017906038498,0.8565061308433525,0.9796544926667556,0.933001107419712,0.9496644295302012,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_025_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_25.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_025_detailed_metrics.json
30,0.3783998339639207,95.89615576406509,0.00079409873352,0.5239495564001212,0.911917098445596,0.842171214383758,0.842171214383758,0.8312889772054926,0.8315534424913661,0.8432554340319923,0.8425623800383877,0.8236225338485197,0.9856092173465532,0.9856092173465532,0.8862321580476841,0.842171214383758,0.9814513194647618,0.8315534424913661,0.9824770248687,0.9421373200442968,0.9597315436241612,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_030_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_30.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_030_detailed_metrics.json
35,0.3538785524863454,97.10434348248744,0.0007272682546199,0.5371314243949139,0.9015544041450776,0.8258446837715131,0.8258446837715131,0.834695604533577,0.8657235621521336,0.8232734804025301,0.8221456979338442,0.803163682064163,0.9845802790828388,0.9845802790828388,0.8934460982717561,0.8258446837715131,0.97731899829265,0.8657235621521336,0.9807178808087492,0.9224806201550388,0.9644600366076876,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_035_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_35.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_035_detailed_metrics.json
40,0.3408568929507026,97.55366949575637,0.0006548539886902,0.536067008972168,0.8911917098445595,0.6656677526886586,0.6656677526886586,0.67290862668202,0.6935775335775336,0.8092308558727617,0.8084865094740822,0.6460656956935041,0.9839041898553528,0.9839041898553528,0.8982818121325263,0.6656677526886586,0.9803979430048456,0.6935775335775336,0.9772910783016944,0.9573643410852712,0.9635448444173276,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_040_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_40.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_040_detailed_metrics.json
45,0.3277950350487166,98.1927109313142,0.0005786390152875,0.5521635478024656,0.8860103626943006,0.6783628972653364,0.6783628972653364,0.6791262665290382,0.7033592513928648,0.7960363975600832,0.79507722007722,0.6532437081136789,0.9826921491943564,0.9826921491943564,0.8227288448639459,0.6783628972653364,0.9748808108483428,0.7033592513928648,0.9770725054984748,0.919158361018826,0.9607992678462476,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_045_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_45.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_045_detailed_metrics.json
50,0.3190288688650859,98.48227658055154,0.0005005,0.5465260626738553,0.8911917098445595,0.7961910041178334,0.7961910041178334,0.8156333390210074,0.8464440321583179,0.8035971984051926,0.803109059995142,0.7717527980567694,0.9812968581791368,0.9812968581791368,0.8781588815855598,0.7961910041178334,0.9755617939389362,0.8464440321583179,0.9790297442198052,0.882890365448505,0.9482916412446613,experiments\260528-2312_resnet50_noaug_lr_0.001\roc_curves\epoch_050_roc.png,experiments\260528-2312_resnet50_noaug_lr_0.001\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260528-2312_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_50.csv,experiments\260528-2312_resnet50_noaug_lr_0.001\metrics\epoch_050_detailed_metrics.json
