epoch,train_loss,train_acc,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.9050921049976072,72.48039620179458,0.0004969282409784,0.7675402115046052,0.8134715025906736,0.5167171968565697,0.5167171968565697,0.5189661412150351,0.5643641409266409,0.6644614262347099,0.6566345441067457,0.4735237989504165,0.952353898000513,0.952353898000513,0.6476269910804202,0.5167171968565697,0.9568066020938468,0.5643641409266409,0.9631708788137452,0.8806755260243633,0.9464612568639414,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_005_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_05.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_005_detailed_metrics.json
10,0.6955994039933838,81.46925298963949,0.0004877886008156,0.6523039476859137,0.8549222797927462,0.6153468482736775,0.6153468482736775,0.6393739048296757,0.6755508173418622,0.7306874810178422,0.7261023821591486,0.5754639689993295,0.9711042617307392,0.9711042617307392,0.7208562031213888,0.6153468482736775,0.960117120725652,0.6755508173418622,0.9728084899417444,0.904485049833887,0.9566809029896278,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_010_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_10.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_010_detailed_metrics.json
15,0.6122226719614203,85.06809739865797,0.0004728061277849,0.5934752497648328,0.8704663212435233,0.6354556013092598,0.6354556013092598,0.645335675253708,0.6663397208851755,0.7712936661268738,0.7708709279133821,0.6101339215546923,0.9787575647962238,0.9787575647962238,0.8227337188891701,0.6354556013092598,0.9746783202454324,0.6663397208851755,0.9727303452773404,0.9072535991140642,0.9609517998779744,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_015_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_15.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_015_detailed_metrics.json
20,0.5549155712570477,87.94056954063072,0.0004523497400965,0.5781188270588613,0.8549222797927462,0.626401270042385,0.626401270042385,0.647224321227412,0.6737786717740532,0.7330782920042821,0.7307424015944195,0.5902405196644752,0.9807782935783736,0.9807782935783736,0.7688415157514401,0.626401270042385,0.96383924962209,0.6737786717740532,0.9730537130431188,0.9451827242524916,0.9635448444173276,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_020_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_20.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_020_detailed_metrics.json
25,0.5166698966742644,89.25299216037047,0.000426923141906,0.544154414241178,0.8911917098445595,0.8423393969561218,0.8423393969561218,0.8373205526145304,0.8357487303864636,0.8066214091776579,0.8061971022808779,0.820344833441767,0.9837503176603716,0.9837503176603716,0.8602398491635744,0.8423393969561218,0.9780054364856452,0.8357487303864636,0.9780185964992868,0.9224806201550388,0.9659853569249542,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_025_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_25.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_025_detailed_metrics.json
30,0.4818387075539123,91.39909203340828,0.0003971524204469,0.543100821539528,0.8704663212435233,0.6773907567461573,0.6773907567461573,0.6886846077013482,0.7145827126886646,0.7633887365660462,0.7598905200298582,0.6436376697790587,0.98425374181346,0.98425374181346,0.7948649345742757,0.6773907567461573,0.9662469130329012,0.7145827126886646,0.9755049708392004,0.922203765227021,0.963392312385601,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_030_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_30.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_030_detailed_metrics.json
35,0.455815255651777,92.22451505956204,0.000363770629685,0.5525145283634798,0.8756476683937824,0.8255509299063305,0.8255509299063305,0.7921453023240249,0.7924261307576465,0.7726485076653079,0.7696553781888706,0.7925979249338732,0.986949082461366,0.986949082461366,0.88136040126079,0.8255509299063305,0.9670469950275428,0.7924261307576465,0.976177400588214,0.9612403100775192,0.9688834655277608,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_035_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_35.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_035_detailed_metrics.json
40,0.4348154831709962,93.2315311628681,0.0003275997400965,0.5172070196873165,0.9067357512953368,0.8658589378101574,0.8658589378101574,0.866601751868912,0.8726552369808263,0.8317618804099955,0.8306687463443166,0.8438917728631558,0.98799285742392,0.98799285742392,0.8925113765744642,0.8658589378101574,0.9780328350529984,0.8726552369808263,0.982698585772049,0.9554263565891472,0.9670530811470408,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_040_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_40.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_040_detailed_metrics.json
45,0.4101792586326993,94.42839454779975,0.0002895303990275,0.5430097234063815,0.8808290155440415,0.8267414060968068,0.8267414060968068,0.793617702551955,0.7929093904768385,0.7827575296639523,0.7802910314789151,0.7958037071087826,0.9852371097775467,0.9852371097775467,0.8880713212615493,0.8267414060968068,0.9690623010119758,0.7929093904768385,0.97711120273297,0.9573643410852714,0.9644600366076876,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_045_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_45.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_045_detailed_metrics.json
50,0.3975108031295716,95.1877837334986,0.0002505,0.5606426945622103,0.8860103626943006,0.8389572680513446,0.8389572680513446,0.8047038748963844,0.8034074417231738,0.7920010379771466,0.7888507633397981,0.808822137281619,0.9852469983407072,0.9852469983407072,0.8788279186716431,0.8389572680513446,0.9698648692302744,0.8034074417231738,0.9793122286162508,0.9604097452934662,0.9579011592434412,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_050_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_50.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_050_detailed_metrics.json
55,0.3834304756779735,95.74907139909205,0.0002114696009724,0.5583779206547712,0.8808290155440415,0.826432191501878,0.826432191501878,0.7904959658281917,0.7879523902584289,0.7835360720778366,0.7813731284475965,0.7966998869523307,0.9836622702293024,0.9836622702293024,0.8839402280776636,0.826432191501878,0.9702676954504528,0.7879523902584289,0.9772235009774536,0.9155592469545958,0.954392922513728,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_055_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_55.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_055_detailed_metrics.json
60,0.3788615178136947,95.98844407758976,0.0001734002599034,0.5527017981277229,0.8860103626943006,0.8335441271852421,0.8335441271852421,0.7973567213037901,0.7911164465786314,0.7933574371483254,0.7919341402459941,0.8058526389622257,0.9836689357642804,0.9836689357642804,0.8839611545686961,0.8335441271852421,0.9723085117769836,0.7911164465786314,0.978053590792516,0.9354928017718716,0.952562538133008,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_060_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_060_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_60.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_060_detailed_metrics.json
65,0.372431883017878,96.20305406080018,0.0001372293703149,0.5544165465498218,0.9015544041450776,0.8650067122192558,0.8650067122192558,0.8191187909913323,0.8015121136173767,0.8237986705192588,0.8231322046978247,0.843470526645586,0.984375680019274,0.984375680019274,0.8831436339063535,0.8650067122192558,0.9784638144263303,0.8015121136173767,0.9806916652961278,0.9357696566998892,0.9572910311165344,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_065_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_065_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_65.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_065_detailed_metrics.json
70,0.3688003625940597,96.39290135628026,0.000103847579553,0.571600182686445,0.8808290155440415,0.8377958278655143,0.8377958278655143,0.7958589887567931,0.7868019300743553,0.7837348026286695,0.7815990159901599,0.8080938907620648,0.9828452552458178,0.9828452552458178,0.8698799485785107,0.8377958278655143,0.9702980628965506,0.7868019300743553,0.9771824811050156,0.946843853820598,0.9527150701647348,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_070_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_070_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_70.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_070_detailed_metrics.json
75,0.3617677579794942,96.95418901746548,7.407685809395643e-05,0.5606598779945176,0.8963730569948186,0.8748996938021328,0.8748996938021328,0.8073039905321912,0.7919369502186839,0.8139479854692548,0.8130931628897927,0.8501429643929513,0.9832330517422834,0.9832330517422834,0.8806643885018025,0.8748996938021328,0.9752432705908184,0.7919369502186839,0.9784587707156668,0.918327796234773,0.953020134228188,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_075_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_075_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_75.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_075_detailed_metrics.json
80,0.3584925777007861,96.93768056002816,4.8650259903450646e-05,0.5569236463833349,0.8963730569948186,0.8582039911308204,0.8582039911308204,0.817173727000428,0.8044877710719597,0.8129809640905875,0.8119183355259952,0.8333887411223879,0.983135829743488,0.983135829743488,0.8829256634686524,0.8582039911308204,0.9751847499915676,0.8044877710719597,0.979721459031804,0.9404761904761904,0.9501220256253812,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_080_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_080_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_80.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_080_detailed_metrics.json
85,0.3639240909006494,96.63227404359446,2.819387221500224e-05,0.5602207159131302,0.8860103626943006,0.7927278006546299,0.7927278006546299,0.7797127669078889,0.8077638236036969,0.7922415780546029,0.7905795314426634,0.7637725539812836,0.983033194694828,0.983033194694828,0.8936113810271621,0.7927278006546299,0.971044753326654,0.8077638236036969,0.977990701988258,0.936046511627907,0.9487492373398414,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_085_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_085_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_85.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_085_detailed_metrics.json
90,0.3577030079599948,96.94593478717243,1.3211399184359195e-05,0.5579390476404694,0.8860103626943006,0.8338533417801709,0.8338533417801709,0.8005087494558184,0.8005952380952381,0.7933917049167711,0.7918831487109107,0.806136343215057,0.9838527637682648,0.9838527637682648,0.8845166659214942,0.8338533417801709,0.972283001434886,0.8005952380952381,0.97805354309556,0.9316168327796234,0.9513422818791948,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\roc_curves\epoch_090_roc.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\confusion_matrices\epoch_090_confusion_matrix.png,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\predictions\val_predictions_epoch_90.csv,experiments\260605-1333_resnet50_diff-ddpm_lr_0.0005\metrics\epoch_090_detailed_metrics.json
