output_path,true_label_name,nearest_wrong_class_name,plain_prompt,suffixed_prompt,source_a_image_path,source_b_image_path,source_a_sample_id,source_b_sample_id,source_a_margin,source_b_margin,Margin Difference,circle_lambda,theta,seed,num_inference_steps,guidance_scale,split_ratio,batch_size,latent_noise_std,image_read_ok,read_error,pred_label_name,pred_label_idx,pred_prob,true_prob,confidence_decision,feature_distance,feature_suspect_threshold,feature_reject_threshold,feature_decision,decision,reject_reasons,suspect_reasons,resolved_output_path
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0000.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0026100.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0025247.jpg,ISIC_0026100,ISIC_0025247,0.1488124132156372,-0.029978275,0.178790689,3.691445875251632,1.5738027095794678,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0000.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0001.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,ISIC_0032203,ISIC_0031692,-0.157622457,0.1920420527458191,0.349664509,0.4700117239827929,1.5505255460739136,42,100,5,0.3,32,0,TRUE,,AKIEC,3,0.9999022483825684,0.9999022483825684,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0001.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0002.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029043.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0033869.jpg,ISIC_0029043,ISIC_0033869,0.0253339409828186,0.0143100619316101,0.011023879,2.452731032471923,1.5685267448425293,42,100,5,0.3,32,0,TRUE,,AKIEC,3,0.9999997615814209,0.9999997615814209,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0002.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0003.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0027294.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0028132.jpg,ISIC_0027294,ISIC_0028132,0.0116270780563354,-0.023166001,0.034793079,0.223633293801004,1.546080231666565,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0003.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0004.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0024517.jpg,ISIC_0031692,ISIC_0024517,0.1920420527458191,-0.037474215,0.229516268,2.6652480687213878,1.5702483654022217,42,100,5,0.3,32,0,TRUE,,AKIEC,3,0.9999998807907104,0.9999998807907104,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0004.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0005.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0032014.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,ISIC_0032014,ISIC_0031692,0.1522223949432373,0.1920420527458191,0.039819658,2.650012209615612,1.5602437257766724,42,100,5,0.3,32,0,TRUE,,AKIEC,3,0.9999998807907104,0.9999998807907104,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0005.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0006.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029860.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,ISIC_0029860,ISIC_0029371,0.139904499053955,-0.045683265,0.185587764,0.7101669290363712,1.554023027420044,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0006.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0007.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029598.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029210.jpg,ISIC_0029598,ISIC_0029210,0.1429506540298462,0.1033224463462829,0.039628208,0.0512185712512079,1.5536623001098633,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0007.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0008.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0024925.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,ISIC_0024925,ISIC_0032203,-0.120426893,-0.157622457,0.037195563,0.5613976773025785,1.5356799364089966,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0008.png
C:\Users\Admin\Desktop\isic_experiment\experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0009.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,C:\Users\Admin\Desktop\isic_experiment\dataset\ISIC2018_Task3_Training_Input\ISIC_0026927.jpg,ISIC_0029371,ISIC_0026927,-0.045683265,0.0063186883926391,0.052001953,0.0451095625634789,1.580993890762329,42,100,5,0.3,32,0,TRUE,,AKIEC,3,1,1,keep,,,,not_used,keep,,,experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0009.png
