true_label_name,nearest_wrong_class_name,decision,count,total,ratio
AKIEC,BCC,keep,50,50,1.0
AKIEC,BKL,keep,50,50,1.0
AKIEC,DF,keep,50,50,1.0
AKIEC,MEL,keep,50,50,1.0
BCC,AKIEC,reject,50,50,1.0
BCC,BKL,reject,50,50,1.0
BCC,DF,reject,50,50,1.0
BCC,MEL,reject,50,50,1.0
BCC,VASC,reject,50,50,1.0
BKL,AKIEC,reject,50,50,1.0
BKL,BCC,reject,50,50,1.0
BKL,DF,reject,50,50,1.0
BKL,MEL,reject,50,50,1.0
BKL,NV,reject,50,50,1.0
DF,AKIEC,reject,50,50,1.0
DF,BCC,reject,50,50,1.0
DF,BKL,reject,50,50,1.0
DF,MEL,reject,50,50,1.0
DF,NV,reject,50,50,1.0
DF,VASC,reject,50,50,1.0
MEL,AKIEC,reject,50,50,1.0
MEL,BCC,reject,50,50,1.0
MEL,BKL,reject,50,50,1.0
MEL,DF,reject,50,50,1.0
MEL,NV,reject,50,50,1.0
MEL,VASC,reject,50,50,1.0
NV,BCC,reject,50,50,1.0
NV,BKL,reject,50,50,1.0
NV,DF,reject,50,50,1.0
NV,MEL,reject,50,50,1.0
NV,VASC,reject,50,50,1.0
VASC,AKIEC,reject,50,50,1.0
VASC,BCC,reject,50,50,1.0
VASC,DF,reject,50,50,1.0
VASC,MEL,reject,50,50,1.0
VASC,NV,reject,50,50,1.0
