output_path,true_label_name,nearest_wrong_class_name,plain_prompt,suffixed_prompt,source_a_image_path,source_b_image_path,source_a_sample_id,source_b_sample_id,source_a_margin,source_b_margin,circle_lambda,theta,seed,num_inference_steps,guidance_scale,split_ratio,batch_size,latent_noise_std
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0000.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0025319.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024517.jpg,ISIC_0025319,ISIC_0024517,0.1103724837303161,-0.0329854488372802,0.6948563535028546,1.5627906322479248,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0001.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028763.jpg,ISIC_0032203,ISIC_0028763,-0.1179068088531494,0.1289794445037841,0.6212083419904993,1.5775505304336548,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0002.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030387.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029462.jpg,ISIC_0030387,ISIC_0029462,0.0356027483940124,0.0259409546852111,0.32772395488749523,1.5576982498168945,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0003.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029567.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,ISIC_0029567,ISIC_0029371,0.0228070616722106,-0.018947958946228,0.39087813572894714,1.5762110948562622,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0004.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028763.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028132.jpg,ISIC_0028763,ISIC_0028132,0.1289794445037841,-0.0347254276275634,0.35531482740347153,1.554526686668396,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0000.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028335.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028990.jpg,ISIC_0028335,ISIC_0028990,0.1169366240501403,0.1255248785018921,0.4214401438966293,1.5638660192489624,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0001.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024707.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026362.jpg,ISIC_0024707,ISIC_0026362,0.0877667069435119,-0.0003144741058349,0.5937485644006653,1.5610567331314087,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0002.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033536.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029141.jpg,ISIC_0033536,ISIC_0029141,0.0945623517036438,0.0808208584785461,0.6764564076959487,1.5805546045303345,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0003.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033811.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024654.jpg,ISIC_0033811,ISIC_0024654,-0.0496808886528015,-0.0531648397445678,0.5027045290489935,1.5926810503005981,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0004.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026362.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026171.jpg,ISIC_0026362,ISIC_0026171,-0.0003144741058349,0.0500617027282714,0.37556062603494705,1.5620249509811401,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0000.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030408.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024946.jpg,ISIC_0030408,ISIC_0024946,0.115879476070404,0.2110769748687744,0.704079523109286,1.5832685232162476,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0001.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026388.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028517.jpg,ISIC_0026388,ISIC_0028517,0.2437915205955505,-0.0115032196044921,0.2753994468312653,1.56941556930542,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0002.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031922.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025182.jpg,ISIC_0031922,ISIC_0025182,0.2226098775863647,0.1131113767623901,0.5671422236545971,1.546160101890564,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0003.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031578.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030826.jpg,ISIC_0031578,ISIC_0030826,0.2863304615020752,0.2574142813682556,0.6646740446861097,1.563749074935913,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0004.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026702.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031044.jpg,ISIC_0026702,ISIC_0031044,0.2762678861618042,0.2222226858139038,0.272043380899525,1.585426688194275,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0000.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026857.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030602.jpg,ISIC_0026857,ISIC_0030602,0.095697283744812,0.0588205456733703,0.4167782693025441,1.5449540615081787,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0001.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030280.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025577.jpg,ISIC_0030280,ISIC_0025577,0.1033716201782226,0.1482276320457458,0.31540983035085113,1.583132266998291,42,100,5.0,0.3,32,0.0
