epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.001,1.016502644790218,61.69639572508204,0.7691698099047409,69.94818652849742,0.3005878848213343,0.3005878848213343,0.3085991917607927,0.3331349206349206,0.8824165673654901,0.8824165673654901,0.4514632726919587,0.3005878848213343,0.9171594585646112,0.4663888888888888,0.93719857744029,0.8034330011074197,0.9054301403294692,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_005_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_05.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_005_detailed_metrics.json
10,0.001,0.914600033865999,64.21238365417295,0.6741163106779978,76.16580310880829,0.3752534051314539,0.3752534051314539,0.3804056041530303,0.406330532212885,0.9291145811067376,0.9291145811067376,0.4869096547152226,0.3752534051314539,0.940335584827236,0.5688627450980391,0.9547556172727676,0.7973421926910299,0.924496644295302,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_010_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_10.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_010_detailed_metrics.json
15,0.001,0.8532923447568181,66.316052471817,0.6051384868399466,76.68393782383419,0.3936188666153822,0.3936188666153822,0.4108395716125979,0.4356407634824265,0.9458761554950882,0.9458761554950882,0.5372079690535321,0.3936188666153822,0.9437281113884431,0.5082475573961642,0.9543596228306626,0.8502214839424143,0.9420378279438684,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_015_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_15.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_015_detailed_metrics.json
20,0.001,0.7896869881953186,68.9582605044154,0.6364481229856225,77.2020725388601,0.4380665791815618,0.4380665791815618,0.4314027170034041,0.4730650644319709,0.9390029061289356,0.9390029061289356,0.5368220817050162,0.4380665791815618,0.9360352327206358,0.5519092418372994,0.9527113133048104,0.8358250276854928,0.9269371568029284,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_020_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_20.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_020_detailed_metrics.json
25,0.001,0.716534760575309,71.8865676463874,0.6866425553751733,70.46632124352331,0.3037128376849631,0.3037128376849631,0.3166629193696862,0.4067004424147282,0.9290057754962076,0.9290057754962076,0.5624844659315162,0.3037128376849631,0.9204116359124012,0.5693806193806195,0.9405015535128678,0.7270210409745294,0.9153447223917024,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_025_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_025_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_25.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_025_detailed_metrics.json
30,0.0001,0.6443528041057979,74.69706890166547,0.6104387718161153,76.16580310880829,0.4747473490504849,0.4747473490504849,0.501984126984127,0.5960369429931672,0.9363456517864854,0.9363456517864854,0.5938428274399717,0.4747473490504849,0.9416274964307186,0.5960369429931672,0.9471901370425748,0.8178294573643411,0.9269371568029284,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_030_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_030_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_30.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_030_detailed_metrics.json
35,0.0001,0.5078910125381254,80.95758753583632,0.6175704289594462,76.16580310880829,0.4686867429898789,0.4686867429898789,0.4881667207035787,0.5260489692060031,0.9378846237215744,0.9378846237215744,0.562569478971857,0.4686867429898789,0.9393354742926678,0.5260489692060031,0.9465705322775751,0.8637873754152824,0.9241915802318486,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_035_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_035_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_35.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_035_detailed_metrics.json
40,0.0001,0.477377239962051,82.14405682543558,0.601742782741013,79.27461139896373,0.5039718991809584,0.5039718991809584,0.5217042094118506,0.5459737383325424,0.9430585025565376,0.9430585025565376,0.5981684645596095,0.5039718991809584,0.949024858785438,0.5459737383325424,0.9549116819575516,0.8568660022148393,0.9269371568029288,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_040_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_040_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_40.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_040_detailed_metrics.json
45,0.0001,0.4405136737748052,83.58296640679235,0.6343290622061398,77.2020725388601,0.4934857535031751,0.4934857535031751,0.5201162637475746,0.6135146771931232,0.9398195525336108,0.9398195525336108,0.6186654034814146,0.4934857535031751,0.940712459294314,0.6135146771931232,0.9482213489948712,0.820874861572536,0.9179377669310556,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_045_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_045_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_45.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_045_detailed_metrics.json
50,0.0001,0.4137913244856362,85.03870536164779,0.6757462512643844,78.75647668393782,0.4968599634975942,0.4968599634975942,0.5218511647083076,0.6038658806967343,0.936170891758098,0.936170891758098,0.613014295661601,0.4968599634975942,0.9481947415098432,0.6038658806967343,0.9541830445459856,0.8222591362126246,0.9098535692495424,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_050_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_050_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_50.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_050_detailed_metrics.json
55,0.0001,0.3901853003473002,86.00639282657978,0.6996943589319219,77.2020725388601,0.4731122826070561,0.4731122826070561,0.4952524153205789,0.5543083900226757,0.9389400958813854,0.9389400958813854,0.5830156158965462,0.4731122826070561,0.93843137618636,0.5543083900226757,0.9500761792955312,0.7848837209302325,0.9161073825503356,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_055_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_055_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_55.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_055_detailed_metrics.json
60,1e-05,0.3746487298564692,86.3934680755112,0.7163035052736806,75.12953367875647,0.4581116038433112,0.4581116038433112,0.4798327806272793,0.5709033411607346,0.9334822348422496,0.9334822348422496,0.5998544514134769,0.4581116038433112,0.9376492818909224,0.5709033411607346,0.9450851816127664,0.8325027685492802,0.9098535692495424,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_060_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_060_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_60.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_060_detailed_metrics.json
65,1e-05,0.3569372399553069,86.98249496156943,0.6837046328603913,77.720207253886,0.4888958022233284,0.4888958022233284,0.5173963015059551,0.6029519973886054,0.9368664866043548,0.9368664866043548,0.6004765700385992,0.4888958022233284,0.9429052281946476,0.6029519973886054,0.9504836666206388,0.833610188261351,0.9161073825503356,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_065_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_065_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_65.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_065_detailed_metrics.json
70,1e-05,0.3480469769538352,87.74823027321563,0.6978491600313335,78.23834196891191,0.4984196117471379,0.4984196117471379,0.5250876108018965,0.6144495365230169,0.9356485445463008,0.9356485445463008,0.5987286225478873,0.4984196117471379,0.9460833607398024,0.6144495365230169,0.9519135507676548,0.8275193798449612,0.9145820622330688,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_070_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_070_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_70.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_070_detailed_metrics.json
75,1e-05,0.3606711782938862,87.36956967893413,0.6860825570753819,78.75647668393782,0.4995810519329683,0.4995810519329683,0.5280504586136219,0.6186661687575794,0.9372034869952854,0.9372034869952854,0.6210801660569966,0.4995810519329683,0.9457133881893788,0.6186661687575794,0.9536090101610868,0.8219822812846068,0.9138194020744356,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_075_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_075_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_75.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_075_detailed_metrics.json
80,1e-05,0.348777668588854,87.55469282080291,0.741349995136261,76.16580310880829,0.4768500082960013,0.4768500082960013,0.5028773404913223,0.6037928153717627,0.9345414938703256,0.9345414938703256,0.5991024372271652,0.4768500082960013,0.9366843335491052,0.6037928153717627,0.945941640490188,0.8338870431893688,0.9093959731543624,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_080_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_080_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_80.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_080_detailed_metrics.json
85,1e-05,0.3445396209677956,87.76505956967564,0.7017323930646472,77.2020725388601,0.4767610148272169,0.4767610148272169,0.5114637597675816,0.6164115646258502,0.9363381315804018,0.9363381315804018,0.6130892695059884,0.4767610148272169,0.9408828508132696,0.6164115646258502,0.9505889153221218,0.8313953488372093,0.9170225747406956,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_085_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_085_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_85.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_085_detailed_metrics.json
90,1.0000000000000002e-06,0.3418319842523294,87.89969450117,0.6911182789604898,78.75647668393782,0.5052223328355733,0.5052223328355733,0.5325922567608604,0.6196143716878523,0.9373022615680252,0.9373022615680252,0.6035956603741516,0.5052223328355733,0.946918782627856,0.6196143716878523,0.9527105942572532,0.8552048726467332,0.912751677852349,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_090_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_090_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_90.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_090_detailed_metrics.json
95,1.0000000000000002e-06,0.3460511560995383,87.62201004516231,0.708249724127468,76.68393782383419,0.4725692716110835,0.4725692716110835,0.5003283033643565,0.5921325051759835,0.9364556105112848,0.9364556105112848,0.609796922855187,0.4725692716110835,0.9401202076616708,0.5921325051759835,0.948597579200447,0.8338870431893688,0.9136668700427087,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_095_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_095_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_95.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_095_detailed_metrics.json
100,1.0000000000000002e-06,0.3451514509702443,87.79030408573568,0.7024958596946044,77.2020725388601,0.4850132736021238,0.4850132736021238,0.5091442068837988,0.5861801242236024,0.9352178671385257,0.9352178671385257,0.6063944158563197,0.4850132736021238,0.9445815270731563,0.5861801242236024,0.9492167900030644,0.832779623477298,0.912751677852349,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\roc_curves\epoch_100_roc.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\confusion_matrices\epoch_100_confusion_matrix.png,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\predictions\val_predictions_epoch_100.csv,experiments\20260413_155806_resnet50_scratch_lr0.001_bs96_seed42\metrics\epoch_100_detailed_metrics.json
