epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.001,1.1167667331235973,58.68083482204117,0.8742098280185245,70.46632124352331,0.2842360891141379,0.2842360891141379,0.2565161434726652,0.2386045327221797,0.8080630733558651,0.8080630733558651,0.364618953990001,0.2842360891141379,0.9105863910713112,0.2386045327221797,0.9421108254227972,0.689922480620155,0.8532641854789506,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_005_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_05.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_005_detailed_metrics.json
10,0.001,1.029743496307436,60.49813148725077,0.7442299139932029,70.46632124352331,0.2705416534684827,0.2705416534684827,0.2705197046359015,0.2833333333333333,0.9162552406064643,0.9162552406064643,0.4669833645958507,0.2705416534684827,0.9043244707433268,0.2833333333333333,0.9453823180012888,0.8471760797342192,0.9237339841366686,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_010_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_10.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_010_detailed_metrics.json
15,0.001,0.9384694093236594,63.10238293659062,0.663633957428018,75.12953367875647,0.371473445253933,0.371473445253933,0.3752888406153939,0.4318547898094936,0.9429242050804096,0.9429242050804096,0.5978697288486672,0.371473445253933,0.9472066975473716,0.4318547898094936,0.9498594939078512,0.8618493909191585,0.9293776693105552,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_015_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_15.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_015_detailed_metrics.json
20,0.001,0.88942875931562,65.52814949477587,0.6533887096019606,77.2020725388601,0.3895044270479811,0.3895044270479811,0.3974778129642661,0.4719981015662078,0.9496527302313024,0.9496527302313024,0.5956593846185746,0.3895044270479811,0.9478542289698086,0.4719981015662078,0.955139893756856,0.8601882613510521,0.9517998779743746,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_020_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_20.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_020_detailed_metrics.json
25,0.001,0.8505831262749278,66.77754090231927,0.6036947054566497,77.720207253886,0.4667288866766219,0.4667288866766219,0.4995599681313966,0.5576194691923593,0.9432638275597724,0.9432638275597724,0.551048737115651,0.4667288866766219,0.939269012367358,0.5576194691923593,0.9519677621814856,0.8560354374307863,0.9353264185478952,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_025_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_025_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_25.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_025_detailed_metrics.json
30,0.0001,0.7942534303792823,68.9031290050917,0.602504279174953,77.2020725388601,0.446407831425253,0.446407831425253,0.4395443039035716,0.4392563477003705,0.947010818994932,0.947010818994932,0.575272649810945,0.446407831425253,0.9492603777087196,0.4392563477003705,0.9505773621666912,0.902547065337763,0.9284624771201953,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_030_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_030_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_30.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_030_detailed_metrics.json
35,0.0001,0.6865787760750651,73.59240352761218,0.576591452940758,76.68393782383419,0.4454085403562756,0.4454085403562756,0.4790931757318311,0.5351578602292661,0.9437314949932052,0.9437314949932052,0.6124778893107834,0.4454085403562756,0.9362688181447256,0.5351578602292661,0.949967355802638,0.8574197120708749,0.937156802928615,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_035_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_035_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_35.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_035_detailed_metrics.json
40,0.0001,0.6587550798039651,74.70387506864103,0.5800994200718835,75.64766839378238,0.4264710318717287,0.4264710318717287,0.4557705252643693,0.5023434122813005,0.9466004087573504,0.9466004087573504,0.5955593776444094,0.4264710318717287,0.934670909692472,0.5023434122813005,0.9498784809442216,0.8510520487264673,0.934411226357535,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_040_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_040_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_40.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_040_detailed_metrics.json
45,0.0001,0.6315309944795785,75.79100825062012,0.6138351494784182,76.16580310880829,0.4326553237703064,0.4326553237703064,0.4544302890274476,0.50489417989418,0.9381433480356414,0.9381433480356414,0.5732984992891798,0.4326553237703064,0.9392113616972212,0.50489417989418,0.9516113536992876,0.8355481727574752,0.9255643685173888,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_045_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_045_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_45.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_045_detailed_metrics.json
50,0.0001,0.6119081718415269,76.43193006786301,0.6240805773537393,76.68393782383419,0.4391488302638128,0.4391488302638128,0.4811594512717511,0.5923314780457637,0.933822746985904,0.933822746985904,0.5455231810160833,0.4391488302638128,0.933845051522476,0.5923314780457637,0.950991381918118,0.7945736434108527,0.9081757169005492,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_050_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_050_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_50.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_050_detailed_metrics.json
55,0.0001,0.5872345652534612,77.76245100722961,0.6149662308433513,78.23834196891191,0.4482744317239091,0.4482744317239091,0.4820186099493623,0.5449420457553081,0.936541693488658,0.936541693488658,0.568206599801184,0.4482744317239091,0.9399804782473632,0.5449420457553081,0.9573460337695516,0.8358250276854927,0.9215985356924954,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_055_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_055_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_55.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_055_detailed_metrics.json
60,1e-05,0.5651279988951174,78.5899699686333,0.607798008257861,76.68393782383419,0.4501221774740939,0.4501221774740939,0.4767373219522205,0.5269614512471655,0.9423789951141917,0.9423789951141917,0.5809357256300051,0.4501221774740939,0.937511923356958,0.5269614512471655,0.949072146898862,0.8468992248062015,0.9273947528981086,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\roc_curves\epoch_060_roc.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\confusion_matrices\epoch_060_confusion_matrix.png,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\predictions\val_predictions_epoch_60.csv,experiments\20260414_221006_resnet50_scratch_diffaug_lr0.001_bs96_seed42\metrics\epoch_060_detailed_metrics.json
