epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.0009938503261272,1.0586188354535109,60.76339695769376,0.8814144183934661,67.87564766839378,0.2129870129870129,0.2129870129870129,0.2077956480605487,0.2791167863793561,0.8172944990178117,0.8172944990178117,0.3663758175907499,0.2129870129870129,0.8809167112537899,0.2791167863793561,0.9534987285326626,0.7508305647840532,0.8360280658938377,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_005_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_05.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_005_detailed_metrics.json
10,0.0009755527298894,0.9101535811187008,64.96374700434835,0.7176217575765027,67.87564766839378,0.2784288881849858,0.2784288881849858,0.2651729787555881,0.2551317758769365,0.923637325943798,0.923637325943798,0.4793985396179777,0.2784288881849858,0.9139049089036416,0.2551317758769365,0.931142480583027,0.8682170542635659,0.9136668700427087,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_010_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_10.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_010_detailed_metrics.json
15,0.000945557758832,0.8473022573043311,67.30560883570436,0.6226518799603912,76.16580310880829,0.4303015219391526,0.4303015219391526,0.4408998048980357,0.5181799999797978,0.9488076000157613,0.9488076000157613,0.5883772932495954,0.4303015219391526,0.9441488901611969,0.5181799999797978,0.9503320836981975,0.877076411960133,0.9215985356924954,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_015_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_15.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_015_detailed_metrics.json
20,0.0009046039886902,0.7881744982143354,69.30577551944026,0.6281402271646293,73.57512953367875,0.3855947478769779,0.3855947478769779,0.4236987885653404,0.5852087990245884,0.9477837029534582,0.9477837029534582,0.5562093667289928,0.3855947478769779,0.9203801878128144,0.5852087990245884,0.9457313523179656,0.8884274640088593,0.9305979255643684,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_020_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_20.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_020_detailed_metrics.json
25,0.0008536998372026,0.7234106120769953,72.18934910606768,0.6307403578041749,75.12953367875647,0.4112539028915336,0.4112539028915336,0.4316340341969198,0.4658730158730159,0.9419364911813084,0.9419364911813084,0.5859923772571067,0.4112539028915336,0.9348535897756808,0.4658730158730159,0.9464399663970544,0.8906423034330011,0.9409701037217816,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_025_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_025_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_25.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_025_detailed_metrics.json
30,0.00079409873352,0.652949909283048,74.78956580986647,0.5992421350330887,77.720207253886,0.4665007466401195,0.4665007466401195,0.5085466539913001,0.6398017441495701,0.9407145411911652,0.9407145411911652,0.5397233394571961,0.4665007466401195,0.9393352084594108,0.6398017441495701,0.9550230182027404,0.886766334440753,0.9350213544844416,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_030_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_030_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_30.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_030_detailed_metrics.json
35,0.0007272682546199,0.5805792148405934,77.79814988079146,0.6084602150892346,76.16580310880829,0.5107399279002066,0.5107399279002066,0.5012143453872777,0.4979255655750672,0.924917035554818,0.924917035554818,0.5631167818182446,0.5107399279002066,0.9417372062673256,0.4979255655750672,0.9472974809017336,0.8524363233665558,0.926327028676022,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_035_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_035_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_35.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_035_detailed_metrics.json
40,0.0006548539886902,0.4980334020205384,81.08175681306776,0.6478796144223584,77.720207253886,0.4549380062446264,0.4549380062446264,0.4879132452395013,0.617566926050996,0.9331619009151904,0.9331619009151904,0.5324989124781173,0.4549380062446264,0.9391830992982092,0.617566926050996,0.9567643844283368,0.8120155038759691,0.9133618059792556,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_040_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_040_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_40.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_040_detailed_metrics.json
45,0.0005786390152875,0.4277685857289075,83.97366446568098,0.6856756074440912,77.720207253886,0.4806145074437757,0.4806145074437757,0.4967908344984756,0.5446845404828599,0.9422457815843356,0.9422457815843356,0.5786626406898078,0.4806145074437757,0.9404793792531494,0.5446845404828599,0.9538598509383026,0.8668327796234774,0.922666259914582,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_045_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_045_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_45.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_045_detailed_metrics.json
50,0.0005005,0.3251820544429953,88.24068674614792,0.6364881593946348,80.31088082901555,0.5142378237325973,0.5142378237325973,0.5175745654231024,0.5343846629560915,0.9448495203791084,0.9448495203791084,0.5789091637468223,0.5142378237325973,0.9545682645643097,0.5343846629560915,0.9575059945973988,0.812015503875969,0.9383770591824284,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_050_roc.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_050_confusion_matrix.png,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_50.csv,experiments\20260416_145617_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_050_detailed_metrics.json
