epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.0292658722161691,0.8969778687728028,78.8232352696058,1.0862671235682433,78.23834196891191,0.7824841244701872,0.7824841244701872,0.6919932100419904,0.6537369324387579,0.9626658817207684,0.9626658817207684,0.8018003770214938,0.7824841244701872,0.96203452139195,0.6537369324387579,0.9474206957291422,0.8635105204872647,0.9104636973764492,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_005_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_05.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_005_detailed_metrics.json
10,0.027135350407127,0.714145114296863,86.60721727446403,1.1287974415665465,79.79274611398964,0.7453029548848364,0.7453029548848364,0.644566715575119,0.6768968449042705,0.9532501963967556,0.9532501963967556,0.8262840377486734,0.7453029548848364,0.9668812093210376,0.6768968449042705,0.951142413487134,0.9435215946843852,0.9411226357535084,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_010_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_10.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_010_detailed_metrics.json
15,0.0238169848917609,0.592033057980204,92.00766729925044,1.111911916979854,83.93782383419689,0.8032030106942999,0.8032030106942999,0.6994983083836793,0.6783117157017821,0.956362588066334,0.956362588066334,0.8298349333808908,0.8032030106942999,0.9736270221433944,0.6783117157017821,0.9614904615671016,0.8391472868217055,0.882855399633923,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_015_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_15.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_015_detailed_metrics.json
20,0.019635600407127,0.52119898918778,95.51629306256883,1.0907586436197547,86.01036269430051,0.8439031932063291,0.8439031932063291,0.7437654504310435,0.7224637681159419,0.9475914925981164,0.9475914925981164,0.7842255289115263,0.8439031932063291,0.9745030617796296,0.7224637681159419,0.9667250772681264,0.8834440753045405,0.8711104331909701,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_020_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_20.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_020_detailed_metrics.json
25,0.0150004999999999,0.4597044769193005,97.80815071101506,0.908232832202022,88.60103626943005,0.849739430140127,0.849739430140127,0.7817055393586007,0.7619809948963642,0.974925777815626,0.974925777815626,0.9207206098624764,0.849739430140127,0.9748738960387964,0.7619809948963642,0.9737247511364464,0.904485049833887,0.920378279438682,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_025_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_25.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_025_detailed_metrics.json
30,0.0103653995928729,0.4268137603359864,98.94157846805123,1.010558271655147,88.08290155440415,0.8292713094106823,0.8292713094106823,0.7837867543225201,0.7715114087049832,0.9594039507939396,0.9594039507939396,0.8760289239550513,0.8292713094106823,0.975182977109626,0.7715114087049832,0.9741330889476982,0.8552048726467332,0.8921598535692494,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_030_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_30.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_030_detailed_metrics.json
35,0.006184015108239,0.4163584402649887,99.38328194016168,1.018180913258093,88.60103626943005,0.844098149237522,0.844098149237522,0.775196852723732,0.7571003811360609,0.9658922104261164,0.9658922104261164,0.8857910591604968,0.844098149237522,0.976107287043028,0.7571003811360609,0.9749382915491038,0.8707087486157253,0.9209884075655888,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_035_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_35.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_035_detailed_metrics.json
40,0.0028656495928729,0.4086814050486072,99.67497294620132,1.0234141189199657,87.04663212435233,0.8212781121317707,0.8212781121317707,0.7569214782687269,0.7472408557625948,0.9663580785264364,0.9663580785264364,0.805573818808427,0.8212781121317707,0.9700432020752884,0.7472408557625948,0.9720358343630564,0.8806755260243633,0.8947528981086027,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_040_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_40.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_040_detailed_metrics.json
45,0.0007351277838308,0.4066408113624982,99.68330694224518,1.0171159555257294,87.56476683937824,0.6917171968565697,0.6917171968565697,0.6903002570409064,0.6928940319297118,0.9666717837644204,0.9666717837644204,0.8829949189055899,0.6917171968565697,0.9744996643827736,0.6928940319297118,0.9733686664019084,0.8809523809523808,0.8985661989017693,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_045_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_45.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_045_detailed_metrics.json
50,1e-06,0.4070433321292425,99.67497294620132,1.0140902458694931,87.56476683937824,0.828080833220206,0.828080833220206,0.7596881970588835,0.7421321586252033,0.966653828214093,0.966653828214093,0.8842145979798619,0.828080833220206,0.9732942699442966,0.7421321586252033,0.9731438260786395,0.8798449612403101,0.8967358145210493,experiments\260504-2139_resnet50_diff-ldm\roc_curves\epoch_050_roc.png,experiments\260504-2139_resnet50_diff-ldm\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260504-2139_resnet50_diff-ldm\predictions\val_predictions_epoch_50.csv,experiments\260504-2139_resnet50_diff-ldm\metrics\epoch_050_detailed_metrics.json
