epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.0009904022475614,1.2444564570323622,66.05092361305454,1.6602624722713015,65.28497409326425,0.581723531984856,0.581723531984856,0.4801773550802746,0.4487959636633148,0.5142857232601548,0.4882054935486425,0.5253908142852931,0.8883581852817338,0.8883581852817338,0.573023219967325,0.581723531984856,0.9436672823004372,0.4487959636633148,0.9243505996132848,0.7898671096345515,0.8793471629042099,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_005_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_05.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_005_detailed_metrics.json
10,0.0009619778264893,0.9674264219125032,80.95856216209744,1.8033401651085967,70.98445595854922,0.5967200627479373,0.5967200627479373,0.494830546990353,0.4723544973544973,0.5824733159066302,0.5593247981733671,0.5514587675924091,0.8112228500345303,0.8112228500345303,0.588064329761029,0.5967200627479373,0.9547387048444718,0.4723544973544973,0.9349975832556252,0.8471760797342193,0.8651616839536302,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_010_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_10.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_010_detailed_metrics.json
15,0.0009158190713451,0.8803086926326475,87.28906639125783,1.815884833508823,75.64766839378238,0.5820859164064739,0.5820859164064739,0.4993370897759556,0.4675164987578303,0.615995374170657,0.6068735373147265,0.5418584516314054,0.813165308754272,0.813165308754272,0.5669953818297788,0.5820859164064739,0.9597725352249314,0.4675164987578303,0.9446364296234874,0.8599114064230344,0.8877364246491763,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_015_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_15.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_015_detailed_metrics.json
20,0.0008536998372026,0.8428465809574499,91.7623564752054,1.860381236965792,76.68393782383419,0.5985225575817908,0.5985225575817908,0.5291000604143482,0.4913683422086783,0.6296703633204322,0.6215521373480326,0.5597733418631211,0.7968010755366308,0.7968010755366308,0.5758978150906009,0.5985225575817908,0.9612507842813304,0.4913683422086783,0.9465064001995032,0.8363787375415281,0.8807199511897499,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_020_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_20.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_020_detailed_metrics.json
25,0.0007780073313932,0.8216643475260189,94.24862705255472,1.832033339559723,75.64766839378238,0.5652721842617313,0.5652721842617313,0.4969235411683206,0.4714456178741892,0.598780478585651,0.5947008623385908,0.5214469751163838,0.8130749044831933,0.8130749044831933,0.5815799731403752,0.5652721842617313,0.9561747908546526,0.4714456178741892,0.9453261735641062,0.8535437430786268,0.8915497254423429,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_025_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_25.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_025_detailed_metrics.json
30,0.0006916503744663,0.8107855907393525,95.25711432165107,1.8271668006719088,74.61139896373057,0.549283904249061,0.549283904249061,0.4820785864025397,0.4598108667673885,0.5786707696451135,0.5750426889547946,0.5012884875801008,0.8048131952369488,0.8048131952369488,0.5752393631584215,0.549283904249061,0.9520045833310398,0.4598108667673885,0.9424186685396014,0.8662790697674418,0.8785845027455766,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_030_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_30.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_030_detailed_metrics.json
35,0.000597947615847,0.8059358885808403,95.93609584707411,1.814752033955075,74.61139896373057,0.535280254008477,0.535280254008477,0.4743223359752261,0.4555809165771572,0.5777550071899081,0.5743732841261984,0.4888177049054649,0.8153242153643888,0.8153242153643888,0.5721763755890643,0.535280254008477,0.953537450896988,0.4555809165771572,0.9440579795061258,0.8385935769656699,0.8825503355704699,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_035_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_35.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_035_detailed_metrics.json
40,0.0005005,0.8016538089951216,96.71492760630171,1.8265181291906327,75.64766839378238,0.5516067846207219,0.5516067846207219,0.4946992797454508,0.472030407752866,0.5888583891692739,0.5866484392800182,0.5040516391124384,0.7931505441311588,0.7931505441311588,0.5677636145273667,0.5516067846207219,0.9524448544917166,0.472030407752866,0.9448741189312132,0.8211517165005536,0.8811775472849298,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_040_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_40.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_040_detailed_metrics.json
45,0.0004030523841529,0.7993135455365307,97.28407388688086,1.81395852380466,73.57512953367875,0.5273160927342112,0.5273160927342112,0.4717071935157041,0.4508355366438072,0.5594575171580274,0.5563418371946272,0.4778376135089019,0.809452282733309,0.809452282733309,0.5671302013481336,0.5273160927342112,0.9505215207746908,0.4508355366438072,0.9413945569667356,0.83859357696567,0.8910921293471629,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_045_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_45.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_045_detailed_metrics.json
50,0.0003093496255336,0.8024131385374236,97.44383425853042,1.8306811708242785,75.64766839378238,0.540324222815512,0.540324222815512,0.4880369539119996,0.4695535422406949,0.587259316993314,0.5852119438474552,0.494091356356809,0.8127326996286321,0.8127326996286321,0.562114598418879,0.540324222815512,0.953767133541297,0.4695535422406949,0.9465806784222448,0.8455149501661129,0.8924649176327029,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_050_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_50.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_050_detailed_metrics.json
