source_image,label,label_idx,seed_strategy,strength,guidance_scale,num_inference_steps,aug_idx,generator_seed,output_path,source_confidence
ISIC_0024640,MEL,0,hard,0.45,5.0,250,0,254,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,1,1254,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,2,2254,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,3,3254,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8351307511329651
ISIC_0024640,MEL,0,hard,0.45,5.0,250,4,4254,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0024640_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8351307511329651
ISIC_0034218,MEL,0,hard,0.45,5.0,250,0,337,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,1,1337,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,2,2337,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,3,3337,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8092272281646729
ISIC_0034218,MEL,0,hard,0.45,5.0,250,4,4337,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0034218_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8092272281646729
ISIC_0028696,MEL,0,hard,0.45,5.0,250,0,807,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,1,1807,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,2,2807,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,3,3807,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8383530378341675
ISIC_0028696,MEL,0,hard,0.45,5.0,250,4,4807,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0028696_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8383530378341675
ISIC_0031529,MEL,0,hard,0.45,5.0,250,0,341,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0031529_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.7326518893241882
ISIC_0031529,MEL,0,hard,0.45,5.0,250,1,1341,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0031529_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.7326518893241882
ISIC_0031529,MEL,0,hard,0.45,5.0,250,2,2341,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0031529_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.7326518893241882
ISIC_0031529,MEL,0,hard,0.45,5.0,250,3,3341,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0031529_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.7326518893241882
ISIC_0031529,MEL,0,hard,0.45,5.0,250,4,4341,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0031529_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.7326518893241882
ISIC_0027327,MEL,0,hard,0.45,5.0,250,0,185,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0027327_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8117080926895142
ISIC_0027327,MEL,0,hard,0.45,5.0,250,1,1185,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0027327_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8117080926895142
ISIC_0027327,MEL,0,hard,0.45,5.0,250,2,2185,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0027327_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8117080926895142
ISIC_0027327,MEL,0,hard,0.45,5.0,250,3,3185,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0027327_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8117080926895142
ISIC_0027327,MEL,0,hard,0.45,5.0,250,4,4185,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0027327_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8117080926895142
ISIC_0032533,MEL,0,hard,0.45,5.0,250,0,281,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0032533_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8255009055137634
ISIC_0032533,MEL,0,hard,0.45,5.0,250,1,1281,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0032533_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8255009055137634
ISIC_0032533,MEL,0,hard,0.45,5.0,250,2,2281,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0032533_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8255009055137634
ISIC_0032533,MEL,0,hard,0.45,5.0,250,3,3281,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0032533_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8255009055137634
ISIC_0032533,MEL,0,hard,0.45,5.0,250,4,4281,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0032533_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8255009055137634
ISIC_0026458,MEL,0,hard,0.45,5.0,250,0,577,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026458_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.835758626461029
ISIC_0026458,MEL,0,hard,0.45,5.0,250,1,1577,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026458_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.835758626461029
ISIC_0026458,MEL,0,hard,0.45,5.0,250,2,2577,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026458_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.835758626461029
ISIC_0026458,MEL,0,hard,0.45,5.0,250,3,3577,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026458_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.835758626461029
ISIC_0026458,MEL,0,hard,0.45,5.0,250,4,4577,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026458_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.835758626461029
ISIC_0029843,MEL,0,hard,0.45,5.0,250,0,162,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0029843_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8319638967514038
ISIC_0029843,MEL,0,hard,0.45,5.0,250,1,1162,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0029843_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8319638967514038
ISIC_0029843,MEL,0,hard,0.45,5.0,250,2,2162,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0029843_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8319638967514038
ISIC_0029843,MEL,0,hard,0.45,5.0,250,3,3162,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0029843_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8319638967514038
ISIC_0029843,MEL,0,hard,0.45,5.0,250,4,4162,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0029843_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8319638967514038
ISIC_0033477,MEL,0,hard,0.45,5.0,250,0,602,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0033477_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8141980767250061
ISIC_0033477,MEL,0,hard,0.45,5.0,250,1,1602,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0033477_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8141980767250061
ISIC_0033477,MEL,0,hard,0.45,5.0,250,2,2602,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0033477_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8141980767250061
ISIC_0033477,MEL,0,hard,0.45,5.0,250,3,3602,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0033477_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8141980767250061
ISIC_0033477,MEL,0,hard,0.45,5.0,250,4,4602,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0033477_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8141980767250061
ISIC_0025800,MEL,0,hard,0.45,5.0,250,0,972,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8414190411567688
ISIC_0025800,MEL,0,hard,0.45,5.0,250,1,1972,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8414190411567688
ISIC_0025800,MEL,0,hard,0.45,5.0,250,2,2972,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8414190411567688
ISIC_0025800,MEL,0,hard,0.45,5.0,250,3,3972,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8414190411567688
ISIC_0025800,MEL,0,hard,0.45,5.0,250,4,4972,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0025800_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8414190411567688
ISIC_0030122,MEL,0,hard,0.45,5.0,250,0,78,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0030122_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8377342224121094
ISIC_0030122,MEL,0,hard,0.45,5.0,250,1,1078,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0030122_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8377342224121094
ISIC_0030122,MEL,0,hard,0.45,5.0,250,2,2078,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0030122_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8377342224121094
ISIC_0030122,MEL,0,hard,0.45,5.0,250,3,3078,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0030122_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8377342224121094
ISIC_0030122,MEL,0,hard,0.45,5.0,250,4,4078,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0030122_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-004.png,0.8377342224121094
ISIC_0026993,MEL,0,hard,0.45,5.0,250,0,609,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026993_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-000.png,0.8330636620521545
ISIC_0026993,MEL,0,hard,0.45,5.0,250,1,1609,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026993_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-001.png,0.8330636620521545
ISIC_0026993,MEL,0,hard,0.45,5.0,250,2,2609,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026993_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-002.png,0.8330636620521545
ISIC_0026993,MEL,0,hard,0.45,5.0,250,3,3609,experiments/260521-2002_res256_sd_lora_uncond_all_seed42/img2img_hard\hard\MEL\ISIC_0026993_label-MEL_strategy-hard_strength-0.45_gs-5.0_aug-003.png,0.8330636620521545
