epoch,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path,train_loss,train_acc
5,0.0009938503261272,0.7014096437958238,84.4559585492228,0.6263801529480971,0.6263801529480971,0.6360160265965616,0.6541151556776557,0.7172231813670636,0.7154791154791154,0.5884825382797735,0.959762832424735,0.959762832424735,0.6691352780833023,0.6263801529480971,0.9621023853316764,0.6541151556776557,0.9675460308217207,0.8618493909191584,0.9478340451494812,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_005_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_05.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_005_detailed_metrics.json,0.7941299769792721,77.92813812163295
10,0.0009755527298894,0.5629254678370421,88.60103626943005,0.8247914686939077,0.8247914686939077,0.8284387655355397,0.8326051492367281,0.7949937785482006,0.7947999226754301,0.7995226978487907,0.979726401996907,0.979726401996907,0.8491127670780872,0.8247914686939077,0.974731229154883,0.8326051492367281,0.9769784632530132,0.9393687707641196,0.9693410616229408,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_010_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_10.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_010_detailed_metrics.json,0.6566726706709975,83.43443770628915
15,0.000945557758832,0.5427374135644942,87.56476683937824,0.8057438496462888,0.8057438496462888,0.8117140268595815,0.8184984539270254,0.776161176008253,0.7760046423908313,0.7788115783527222,0.982826636168894,0.982826636168894,0.8751984144879377,0.8057438496462888,0.9730677287064334,0.8184984539270254,0.9753567129006075,0.9213732004429678,0.9656802928615008,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_015_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_15.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_015_detailed_metrics.json,0.5873367108867038,86.01026598440394
20,0.0009046039886902,0.5239901351187514,88.60103626943005,0.813789085478981,0.813789085478981,0.8293755668660986,0.8479901677270097,0.7913720355807776,0.7895206464085659,0.7860511617450572,0.9864990765174636,0.9864990765174636,0.8810230408167518,0.813789085478981,0.9722620762660764,0.8479901677270097,0.980746967939086,0.9548726467331118,0.9734594264795606,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_020_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_20.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_020_detailed_metrics.json,0.5529598921857256,87.73681754763305
25,0.0008536998372026,0.5388000209096799,88.08290155440415,0.693040786159253,0.693040786159253,0.6947537822717162,0.7142401458190931,0.7819040066192776,0.7779944986246562,0.6621405260142714,0.9851306714405484,0.9851306714405484,0.8299280921177831,0.693040786159253,0.9690997398550184,0.7142401458190931,0.9800197667047053,0.9490586932447396,0.9662904209884076,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_025_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_25.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_025_detailed_metrics.json,0.5164751332995494,89.37004198865583
30,0.00079409873352,0.5206973305637972,89.11917098445595,0.8567043003454154,0.8567043003454154,0.8583848221462608,0.8655671917889963,0.8026068820838225,0.8014111421431721,0.8297969413955448,0.9868911218680771,0.9868911218680771,0.8968855123281908,0.8567043003454154,0.9730926410501296,0.8655671917889963,0.978774978871507,0.9509966777408638,0.9704087858450274,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_030_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_30.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_030_detailed_metrics.json,0.4892251873149862,90.57396173588428
35,0.0007272682546199,0.6325961987589307,84.97409326424871,0.8111090999592742,0.8111090999592742,0.7995813710099424,0.8093562351626868,0.752683531813854,0.7463058652887318,0.7871371571289428,0.9801251074125108,0.9801251074125108,0.8679342716040563,0.8111090999592742,0.9760280571696688,0.8093562351626868,0.9651775333525212,0.9385382059800664,0.948444173276388,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_035_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_35.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_035_detailed_metrics.json,0.4713123949342835,91.5538964090423
40,0.0006548539886902,0.5533004264139758,89.11917098445595,0.8398174125526042,0.8398174125526042,0.840808738298615,0.8454676744021006,0.8071778048034409,0.8067883872813081,0.8177316313566424,0.9843638841871908,0.9843638841871908,0.8848947356241953,0.8398174125526042,0.977914218804038,0.8454676744021006,0.9769336575007472,0.9501661129568106,0.9569859670530813,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_040_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_40.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_040_detailed_metrics.json,0.4518942771422991,92.30984600741786
45,0.0005786390152875,0.533959870511386,91.19170984455958,0.8695212453052175,0.8695212453052175,0.8282555588568068,0.8139446273062392,0.8432339526372027,0.8429918170072259,0.8519778455833448,0.9826864012625685,0.9826864012625685,0.8811189694808809,0.8695212453052175,0.9824566002781274,0.8139446273062392,0.982473053455433,0.9451827242524916,0.9588163514338012,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_045_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_45.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_045_detailed_metrics.json,0.4383497417418132,93.22445170037167
50,0.0005005,0.5497630099558459,90.67357512953367,0.8678224504879557,0.8678224504879557,0.8330953457003877,0.8297950434578342,0.8307365972752911,0.8288585644613036,0.8434069424776433,0.9755213988151968,0.9755213988151968,0.8953146927151402,0.8678224504879557,0.9755844919896876,0.8297950434578342,0.9826391671593392,0.92718715393134,0.946156192800488,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_050_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_50.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_050_detailed_metrics.json,0.4237072953763989,93.737750810916
55,0.0004223609847124,0.5290168925270515,91.19170984455958,0.8913499102523492,0.8913499102523492,0.8820453259477649,0.8768587251089902,0.8434544579423225,0.8431719325080063,0.872600959504601,0.979341788246668,0.979341788246668,0.8977500214882712,0.8913499102523492,0.9812510492522516,0.8768587251089902,0.9812156640147308,0.9401993355481728,0.954850518608908,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_055_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_55.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_055_detailed_metrics.json,0.4188649880513375,93.73775080521976
