epoch,train_loss,train_acc,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.6906440216246332,81.80728907173298,0.0009938503261272,0.7156071638196243,0.8186528497409327,0.4398656801966906,0.4398656801966906,0.4466278819219996,0.470519956234242,0.6642921853147479,0.6598519562918576,0.3953449426610471,0.9609401486847736,0.9609401486847736,0.7915512268855134,0.4398656801966906,0.9554792624643564,0.470519956234242,0.9659386636881953,0.8909191583610188,0.949359365466748,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_005_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_05.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_005_detailed_metrics.json
10,0.4256204047324475,94.3484772840739,0.0009755527298894,0.6080882008829265,0.8756476683937824,0.7893863975745509,0.7893863975745509,0.7874706077276458,0.7884274819152335,0.7776164995838093,0.7773076923076923,0.7638091024129212,0.9770588531716238,0.9770588531716238,0.8277776096433972,0.7893863975745509,0.9744227048383703,0.7884274819152335,0.975567981430232,0.9150055370985604,0.9662904209884076,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_010_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_10.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_010_detailed_metrics.json
15,0.3255859288315861,98.73190214220904,0.000945557758832,0.6313186013019146,0.8652849740932642,0.7700295639320031,0.7700295639320031,0.7727893969829454,0.777446071182096,0.7577329708571876,0.7573970218526397,0.7415760305557892,0.9747847721274764,0.9747847721274764,0.8438544233051933,0.7700295639320031,0.9715464666237862,0.777446071182096,0.9738439673299608,0.897563676633444,0.9580536912751678,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_015_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_15.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_015_detailed_metrics.json
20,0.2946368026959556,99.69046430354469,0.0009046039886902,0.6642732150814076,0.8497409326424871,0.7144463550386896,0.7144463550386896,0.7161024812765051,0.7207369493251846,0.7301244072757334,0.7296657650695518,0.6824607785342511,0.9720251772170966,0.9720251772170966,0.8080605721493898,0.7144463550386896,0.9680144234955615,0.7207369493251846,0.970193344806348,0.8615725359911407,0.9553081147040878,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_020_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_20.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_020_detailed_metrics.json
25,0.2829041381657153,99.900149775337,0.0008536998372026,0.6591329982243671,0.8497409326424871,0.7228897989350952,0.7228897989350952,0.7302487371212472,0.7408752705627706,0.726590438026757,0.725448837437457,0.6883365085325853,0.9705752654393236,0.9705752654393236,0.8217366171849516,0.7228897989350952,0.9654467095974902,0.7408752705627706,0.9711046466451452,0.8787375415282391,0.9514948139109214,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_025_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_25.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_025_detailed_metrics.json
30,0.2771771922179358,99.9900149775337,0.00079409873352,0.654256678615827,0.8497409326424871,0.7200876359412945,0.7200876359412945,0.7190311000303132,0.7183019216555803,0.7322616352296338,0.732226581188403,0.6892843144135787,0.9703964799651538,0.9703964799651538,0.8239072749510596,0.7200876359412945,0.9691966784722844,0.7183019216555803,0.969184151439216,0.8574197120708749,0.9586638194020743,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_030_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_30.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_030_detailed_metrics.json
35,0.2731345155925913,99.9700449326011,0.0007272682546199,0.6373262133623034,0.8601036269430051,0.7391062189842678,0.7391062189842678,0.7472468103707347,0.757185855624888,0.7471778606099103,0.7467560868931331,0.707396313126587,0.974261851281561,0.974261851281561,0.8227594796171752,0.7391062189842678,0.9682900941423194,0.757185855624888,0.9716027253458598,0.8851052048726468,0.9571384990848076,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_035_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_35.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_035_detailed_metrics.json
40,0.2716677556737804,99.9600599101348,0.0006548539886902,0.6518149079436465,0.8652849740932642,0.7569633618414107,0.7569633618414107,0.7614482352080618,0.7681767853301035,0.7577865857193244,0.7574908177073265,0.7272942723102604,0.9721790432173086,0.9721790432173086,0.8222145796329924,0.7569633618414107,0.97033091046885,0.7681767853301035,0.972514918274314,0.8679401993355481,0.9542403904820012,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_040_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_40.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_040_detailed_metrics.json
45,0.2694162338510847,99.9800299550674,0.0005786390152875,0.6583184887090495,0.844559585492228,0.7246485512164955,0.7246485512164955,0.7262553556841106,0.7279744449099289,0.7215978496551403,0.7215542945080311,0.691713195680642,0.9712583365470994,0.9712583365470994,0.8227315278383879,0.7246485512164955,0.9670646444641466,0.7279744449099289,0.9681358413374324,0.8430232558139534,0.9568334350213544,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_045_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_45.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_045_detailed_metrics.json
50,0.2682384589673041,100.0,0.0005005,0.6398172705902336,0.844559585492228,0.7163152178831622,0.7163152178831622,0.7165723448405962,0.7179702913866514,0.7215968447011499,0.7214471278745309,0.6833750052433084,0.972043481478771,0.972043481478771,0.8306994245748418,0.7163152178831622,0.9670597873601462,0.7179702913866514,0.9681859963094742,0.877906976744186,0.9574435631482612,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_050_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_50.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_050_detailed_metrics.json
55,0.2671843281907554,100.0,0.0004223609847124,0.6600914199117551,0.8497409326424871,0.725809991402326,0.725809991402326,0.7337987408251042,0.7430858823715968,0.72834913361882,0.7280104966469045,0.692438955976539,0.9688948409128256,0.9688948409128256,0.8232990112832275,0.725809991402326,0.9666289645742132,0.7430858823715968,0.969932890474236,0.843576965669989,0.953020134228188,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_055_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_55.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_055_detailed_metrics.json
60,0.2674131385130223,100.0,0.0003461460113097,0.6315524331028597,0.8704663212435233,0.7611551050575442,0.7611551050575442,0.7640428421850511,0.7701413898892892,0.7664922698747691,0.7658903444929646,0.7323774305459566,0.9746848785269584,0.9746848785269584,0.8314252065703643,0.7611551050575442,0.9712223254884128,0.7701413898892892,0.974527231198262,0.8604651162790697,0.9597315436241612,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_060_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_060_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_60.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_060_detailed_metrics.json
65,0.266702332957292,100.0,0.00027373174538,0.6507155005795968,0.8497409326424871,0.7452267825090125,0.7452267825090125,0.7449652281720595,0.7489661835748792,0.7303430972667642,0.7297440849831,0.7119068831107346,0.971966219589776,0.971966219589776,0.8280620938182361,0.7452267825090125,0.966680100601722,0.7489661835748792,0.9688102413908976,0.8696013289036545,0.954392922513728,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_065_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_065_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_65.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_065_detailed_metrics.json
70,0.2663024339328333,99.9700449326011,0.0002069012664799,0.6493768272004596,0.844559585492228,0.7330109205544746,0.7330109205544746,0.7314372510084548,0.730659828255687,0.723083551976324,0.7229797617338883,0.7000707079146208,0.970844362493139,0.970844362493139,0.8240408588161982,0.7330109205544746,0.9670597873601462,0.730659828255687,0.9670699333420788,0.8698781838316723,0.9522574740695546,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_070_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_070_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_70.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_070_detailed_metrics.json
75,0.2664033812995678,99.9800299504966,0.0001473001627973,0.6394975518933232,0.8601036269430051,0.7448285744452993,0.7448285744452993,0.7501406868745051,0.7582947089596994,0.7465989049512747,0.7458296751536435,0.7131795188231279,0.9727395796954504,0.9727395796954504,0.8278870876609172,0.7448285744452993,0.968350944377829,0.7582947089596994,0.9727973535096118,0.8748615725359912,0.9618669920683344,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_075_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_075_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_75.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_075_detailed_metrics.json
80,0.2665371072214958,99.97004493031572,9.639601130971386e-05,0.6503064731242125,0.8497409326424871,0.7592013967449508,0.7592013967449508,0.7566119130579061,0.7573660168039809,0.732491442848423,0.7323162274618585,0.7270357557576411,0.9714030695203884,0.9714030695203884,0.8178855655935651,0.7592013967449508,0.9678343590126904,0.7573660168039809,0.9677977550066512,0.8604651162790697,0.9545454545454546,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_080_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_080_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_80.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_080_detailed_metrics.json
85,0.2662874438616257,99.9800299550674,5.544224116791032e-05,0.6537327593472337,0.8601036269430051,0.7531909437832783,0.7531909437832783,0.7566470457439909,0.7627996653206738,0.7476299209044073,0.7470756685919526,0.7215090344913523,0.9710991300512444,0.9710991300512444,0.8079312271498065,0.7531909437832783,0.968318090708074,0.7627996653206738,0.9715678069516828,0.867109634551495,0.9524100061012812,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_085_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_085_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_85.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_085_detailed_metrics.json
90,0.2657257722040682,100.0,2.544727011057082e-05,0.6357375253667485,0.8497409326424871,0.7341723607403051,0.7341723607403051,0.7332820688083846,0.7343703365999382,0.7312450310257953,0.7309910602710756,0.7020955665542594,0.9740692998029225,0.9740692998029225,0.8302868880815891,0.7341723607403051,0.9679232058139544,0.7343703365999382,0.9689865476830172,0.8859357696566998,0.9565283709579012,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_090_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_090_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_90.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_090_detailed_metrics.json
95,0.2658793980249213,100.0,7.14967387272874e-06,0.642544793341444,0.8652849740932642,0.7596844502767848,0.7596844502767848,0.7601885159759922,0.7652487922705314,0.7583235547085333,0.7577015934331242,0.7300713538771441,0.973325204347286,0.973325204347286,0.8271147224373833,0.7596844502767848,0.9703869036003592,0.7652487922705314,0.9725585203635037,0.8504983388704318,0.9579011592434412,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_095_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_095_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_95.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_095_detailed_metrics.json
100,0.26571520199432885,100.0,1e-06,0.6411102423396136,0.844559585492228,0.7190072703138906,0.7190072703138906,0.7249391782108858,0.7323153899240856,0.7191378770447586,0.7186998979740563,0.6848288095658047,0.973314625640546,0.973314625640546,0.8262138254520411,0.7190072703138906,0.9658215392519143,0.7323153899240856,0.9691448416594115,0.8726467331118494,0.9556131787675411,experiments\260528-0056_resnet50_noaug_lr_0.001\roc_curves\epoch_100_roc.png,experiments\260528-0056_resnet50_noaug_lr_0.001\confusion_matrices\epoch_100_confusion_matrix.png,experiments\260528-0056_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_100.csv,experiments\260528-0056_resnet50_noaug_lr_0.001\metrics\epoch_100_detailed_metrics.json
