epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.0009938503261272,1.0620021491967118,60.50504207730303,0.8323052960973947,66.32124352331607,0.2004117833386126,0.2004117833386126,0.2008151269020834,0.248051948051948,0.8849354361183277,0.8849354361183277,0.4156765786300698,0.2004117833386126,0.8783447382501197,0.248051948051948,0.927889659516614,0.8053709856035437,0.860280658938377,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_005_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_005_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_05.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_005_detailed_metrics.json
10,0.0009755527298894,0.9212664851388074,65.1637636596873,0.7336990678866293,74.61139896373057,0.5853899874805799,0.5853899874805799,0.5491697634878613,0.558315565031983,0.9274829956520972,0.9274829956520972,0.6616208929934233,0.5853899874805799,0.9367985831164944,0.558315565031983,0.9484101749267108,0.8183831672203765,0.8976510067114094,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_010_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_010_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_10.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_010_detailed_metrics.json
15,0.000945557758832,0.8443787508740486,68.03900329160018,0.6814911146238061,72.53886010362694,0.433068992563766,0.433068992563766,0.4340202493026413,0.4632853141256502,0.9363636606080512,0.9363636606080512,0.6115670562901059,0.433068992563766,0.9300111862559738,0.4632853141256502,0.9424434537717044,0.7535991140642303,0.9093959731543624,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_015_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_015_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_15.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_015_detailed_metrics.json
20,0.0009046039886902,0.7655821890073554,71.23926998684928,0.634566023559768,75.64766839378238,0.6119032535408843,0.6119032535408843,0.598530295839266,0.627266255339345,0.9428071674280872,0.9428071674280872,0.6391551462443369,0.6119032535408843,0.9432112374622104,0.627266255339345,0.949081606145446,0.8236434108527132,0.9228187919463088,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_020_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_020_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_20.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_020_detailed_metrics.json
25,0.0008536998372026,0.6757994134263781,74.422868607352,0.6262482074258241,77.720207253886,0.5380356577220688,0.5380356577220688,0.5570875436421655,0.6249004618569837,0.9294588673474554,0.9294588673474554,0.6136672838909695,0.5380356577220688,0.9378108900528686,0.6249004618569837,0.9529282739657022,0.8690476190476191,0.9363941427699818,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_025_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_025_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_25.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_025_detailed_metrics.json
30,0.00079409873352,0.5647998351719551,78.43153595815093,0.7041695503990885,71.50259067357513,0.4363873930947101,0.4363873930947101,0.4594550817674549,0.5037813564667785,0.9359939454230448,0.9359939454230448,0.6552893582292544,0.4363873930947101,0.9219524417543636,0.5037813564667785,0.9346001572220572,0.8169988925802879,0.919463087248322,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_030_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_030_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_30.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_030_detailed_metrics.json
35,0.0007272682546199,0.4373145638475697,83.77364782623792,0.7524978320833315,76.16580310880829,0.600943858696472,0.600943858696472,0.5462604644775497,0.5330429491143777,0.9392784498250945,0.9392784498250945,0.6070332883743025,0.600943858696472,0.9506856341506412,0.5330429491143777,0.9453644562348524,0.8067552602436323,0.9270896888346554,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_035_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_035_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_35.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_035_detailed_metrics.json
40,0.0006548539886902,0.3415206824057161,87.69897493365129,0.776898759943216,75.64766839378238,0.5551084513628067,0.5551084513628067,0.56568233869852,0.586088461701875,0.934478009445014,0.934478009445014,0.62724213733306,0.5551084513628067,0.9359498435506596,0.586088461701875,0.9426845073660094,0.7931893687707641,0.9040573520439292,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_040_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_040_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_40.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_040_detailed_metrics.json
45,0.0005786390152875,0.2402747724987942,91.74931249357044,0.8130716573389083,77.720207253886,0.6776385055130699,0.6776385055130699,0.666113516113516,0.6920500814101095,0.9425392408553904,0.9425392408553904,0.7057602488113671,0.6776385055130699,0.9439379014779108,0.6920500814101095,0.9493985596953112,0.8003875968992249,0.9112263575350824,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_045_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_045_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_45.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_045_detailed_metrics.json
50,0.0005005,0.177905860491341,94.4245353874857,1.0528062897024997,74.09326424870466,0.4809991402325896,0.4809991402325896,0.5074842302666206,0.6220482713633398,0.9200114736291264,0.9200114736291264,0.6200675791977487,0.4809991402325896,0.9215551679166828,0.6220482713633398,0.9430685598431436,0.6121262458471761,0.8915497254423429,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\roc_curves\epoch_050_roc.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\confusion_matrices\epoch_050_confusion_matrix.png,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\predictions\val_predictions_epoch_50.csv,experiments\20260416_190424_resnet50_scratch_diffaug_lr0.001_bs128_seed42\metrics\epoch_050_detailed_metrics.json
