epoch,train_loss,train_fid,train_kid_mean,train_kid_std,val_fid,val_kid_mean,val_kid_std,train_precision,train_recall,val_precision,val_recall,sample_dir,train_fid_json_path,val_fid_json_path,train_per_class_json_path,val_per_class_json_path,train_generated_dir,val_generated_dir,train_per_class_generated_dir,val_per_class_generated_dir,checkpoint_path,diffusers_model_index_copy_path
10,0.0175131611007866,247.4490661621093,0.2134975343942642,0.018275624141097,271.5501403808594,0.2033472061157226,0.0161610003560781,0.060546875,0.0322265625,0.0259067357512953,0.0,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_010,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_010_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_010_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_010_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_010_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
20,0.0162521475111971,129.1992950439453,0.0864475592970848,0.0128777250647544,173.7987823486328,0.0893290042877197,0.0122545445337891,0.2626953125,0.1826171875,0.1088082901554404,0.4818652849740932,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_020,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_020_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_020_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_020_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_020_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
30,0.0164061968646943,125.13992309570312,0.0733694434165954,0.0090159978717565,172.44662475585938,0.0743825733661651,0.0097014280036091,0.0693359375,0.2890625,0.0518134715025906,0.6424870466321243,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_030,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_030_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_030_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_030_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_030_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
40,0.0154151043258607,218.0643005371093,0.170764073729515,0.0166945997625589,250.8344116210937,0.162013828754425,0.0112419240176677,0.2646484375,0.21484375,0.1036269430051813,0.2176165803108808,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_040,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_040_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_040_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_040_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_040_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
50,0.0157156199667602,113.46166229248048,0.0575615167617797,0.0127332285046577,162.91934204101562,0.0635787546634674,0.0092683872207999,0.0908203125,0.53515625,0.0880829015544041,0.7772020725388601,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_050,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_050_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_050_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_050_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_050_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
60,0.0139418646048754,175.6993865966797,0.1218616813421249,0.0177325662225484,223.2482147216797,0.1294078081846237,0.0169954597949981,0.173828125,0.318359375,0.0569948186528497,0.538860103626943,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_060,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_060_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_060_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_060_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_060_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
70,0.0154765910329297,96.61072540283205,0.0482635200023651,0.0094809606671333,149.16146850585938,0.0553427785634994,0.0090459929779171,0.1748046875,0.630859375,0.0880829015544041,0.772020725388601,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_070,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_070_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_070_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_070_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_070_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
80,0.0145978096392005,140.37208557128906,0.0896351635456085,0.0147075233981013,189.3969268798828,0.0930967107415199,0.0136242862790822,0.2041015625,0.55078125,0.1036269430051813,0.6839378238341969,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_080,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_080_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_080_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_080_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_080_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
90,0.0154342268399894,100.72206115722656,0.0540417656302452,0.0120867975056171,151.67520141601562,0.0596210360527038,0.0111932987347245,0.193359375,0.6611328125,0.160621761658031,0.7564766839378239,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_090,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_090_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_090_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_090_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_090_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
100,0.0140879972727969,110.55651092529295,0.0597664155066013,0.0120808389037847,162.0066375732422,0.0672623068094253,0.0116955190896987,0.1630859375,0.7529296875,0.155440414507772,0.7772020725388601,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\samples\epoch_100,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_100_train_fid.json,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid\epoch_100_val_fid.json,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_100_train_generated,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\fid_generated_images\epoch_100_val_generated,,,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\checkpoints\last.pth.tar,experiments\20260409_182550_ddpm_cond_all_all_labels_res128_bs24_seed42\metadata\diffusers_pipeline_model_index.json
