epoch,train_loss,train_fid,train_kid_mean,train_kid_std,val_fid,val_kid_mean,val_kid_std,train_precision,train_recall,val_precision,val_recall,sample_dir,train_fid_json_path,val_fid_json_path,train_per_class_json_path,val_per_class_json_path,train_generated_dir,val_generated_dir,train_per_class_generated_dir,val_per_class_generated_dir,checkpoint_path,diffusers_model_index_copy_path
5,0.0193865321418389,335.2071533203125,0.3680996298789978,0.0226456522941589,350.2405700683594,0.3556499481201172,0.0214864499866962,0.021484375,0.0078125,0.005181347150259,0.0,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_005,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_005_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_005_val_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_005_train_per_class_metrics.json,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_005_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_005_val_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_005_train_per_class_generated,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
10,0.0180214405722486,315.8598327636719,0.3195453882217407,0.0301957596093416,336.1422424316406,0.3225557208061218,0.0230637248605489,0.0322265625,0.326171875,0.0414507772020725,0.082901554404145,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_010,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_010_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_010_val_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_010_train_per_class_metrics.json,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_010_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_010_val_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_010_train_per_class_generated,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
20,0.0167716616549744,177.8112335205078,0.1300306767225265,0.0201756637543439,240.60484313964844,0.151247039437294,0.0172874964773654,0.0556640625,0.46044921875,0.0362694300518134,0.4041450777202072,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_020,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_020_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_020_val_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_020_train_per_class_metrics.json,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_020_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_020_val_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_020_train_per_class_generated_topup,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
30,0.0170876058131957,156.5528106689453,0.1115928441286087,0.0127354264259338,214.9589080810547,0.1190026029944419,0.0117191327735781,0.01708984375,0.0498046875,0.0103626943005181,0.0932642487046632,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_030,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_030_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_030_val_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_030_train_per_class_metrics.json,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_030_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_030_val_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_030_train_per_class_generated_topup,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
40,0.0159634715670015,167.46353149414062,0.1213792040944099,0.0172525197267532,213.3592224121093,0.1240067481994628,0.0146212223917245,0.0908203125,0.466796875,0.0259067357512953,0.4766839378238341,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_040,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_040_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_040_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_040_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_040_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
50,0.0164063947546916,255.3018951416016,0.2216407656669616,0.0191071853041648,296.2060241699219,0.2230545580387115,0.017572283744812,0.1865234375,0.08203125,0.0259067357512953,0.2590673575129533,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_050,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_050_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_050_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_050_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_050_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
60,0.0150808014739782,108.21444702148438,0.0645479559898376,0.0145911192521452,173.6785125732422,0.073420450091362,0.0097658550366759,0.14501953125,0.5341796875,0.0518134715025906,0.7357512953367875,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_060,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_060_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_060_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_060_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_060_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
70,0.0143276651080948,105.31485748291016,0.0559774227440357,0.0120600629597902,165.65025329589844,0.0609837435185909,0.0105915106832981,0.1640625,0.572265625,0.0932642487046632,0.6787564766839378,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_070,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_070_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_070_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_070_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_070_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
80,0.0154505606698923,103.14338684082033,0.0554711185395717,0.0108659416437149,165.4744873046875,0.0620352365076541,0.0105218440294265,0.17236328125,0.6025390625,0.0984455958549222,0.694300518134715,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_080,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_080_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_080_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_080_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_080_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
90,0.0155869522699131,159.81126403808594,0.1133187934756279,0.0183790437877178,212.29217529296875,0.12028519064188,0.0137307057157158,0.2236328125,0.390625,0.0569948186528497,0.6476683937823834,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\samples\epoch_090,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_090_train_fid.json,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid\epoch_090_val_fid.json,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_090_train_generated,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_090_val_generated,,,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260406_003627_ddpm_cond_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
